"Date","AXISBANK.NS.Open","AXISBANK.NS.High","AXISBANK.NS.Low","AXISBANK.NS.Close","AXISBANK.NS.Volume","AXISBANK.NS.Adjusted"
2016-06-06,542.1,545,530.3,532.85,9416300,527.91
2016-06-07,539.1,539.1,526.75,534.4,11455300,529.45
2016-06-08,536.4,541.45,530.8,539,6988700,534.01
2016-06-09,542.95,545.9,537.1,542.6,7019400,537.57
2016-06-10,540,549.15,538.3,541.05,6382200,536.04
2016-06-13,529.8,534.6,524,531.15,6788100,526.23
2016-06-14,535.8,535.8,525.5,529.65,8234400,524.74
2016-06-15,531.9,533.4,522.65,528.8,7836600,523.9
2016-06-16,528,528.3,516,523.45,5375100,518.6
2016-06-17,526.9,533.9,524.7,526.9,7201400,522.02
2016-06-20,515,523.9,514,522.45,11335000,517.61
2016-06-21,524.5,524.5,515.45,517.4,5301700,512.61
2016-06-22,517.9,521,513.6,516.2,5374400,511.42
2016-06-23,518,528,514.8,526.4,5874000,521.52
2016-06-24,502,511.6,492.8,510.5,9745700,505.77
2016-06-27,507.4,517.6,507.15,514.45,4612700,509.68
2016-06-28,515,520.5,512.75,514,4479200,509.24
2016-06-29,518.5,518.95,514.25,517.85,4721100,513.05
2016-06-30,522,535.25,521,533.5,10912400,528.56
2016-07-01,535.8,545.7,535.5,542.9,6701000,537.87
2016-07-04,545.5,546.95,539.5,543.85,5173700,538.81
2016-07-05,541.2,546.25,535.25,539.7,5219400,534.7
2016-07-06,539.7,539.7,539.7,539.7,0,534.7
2016-07-07,539.2,545.9,535.3,542.25,4650900,542.25
2016-07-08,541,548.5,540,546.45,6016400,546.45
2016-07-11,551.65,553,541.55,544.4,6082300,544.4
2016-07-12,550,562.1,549.15,561,6541800,561
2016-07-13,563.7,563.7,551.1,556.85,6365800,556.85
2016-07-14,555.75,561.7,553.6,560.25,4020400,560.25
2016-07-15,556.15,570.45,556,565.05,6247200,565.05
2016-07-18,570,576.8,569,571,6641800,571
2016-07-19,570.7,573.85,563.85,565.45,5547200,565.45
2016-07-20,563.3,567.85,555.85,558.25,5258200,558.25
2016-07-21,557.9,557.9,535.55,538.05,9416100,538.05
2016-07-22,537.95,545.3,532.9,537.7,8134300,537.7
2016-07-25,518.5,540,518.5,538.1,15701600,538.1
2016-07-26,539.7,559.2,535.45,553.8,11437400,553.8
2016-07-27,553.85,558.1,543.45,548.85,7787000,548.85
2016-07-28,548.1,553.35,538.05,543.85,12174200,543.85
2016-07-29,542.5,551.8,542.5,546.15,4861200,546.15
2016-08-01,546.25,557.7,546.25,550.55,7026300,550.55
2016-08-02,552,555.6,547.1,549.65,5749200,549.65
2016-08-03,549.65,552.95,540.85,549.35,6489800,549.35
2016-08-04,551.9,556,544.65,547.5,5769700,547.5
2016-08-05,552.4,569,550.55,567.25,8030300,567.25
2016-08-08,568.45,572.4,565.25,571.15,7360100,571.15
2016-08-09,570.5,576,566.7,574.1,7958200,574.1
2016-08-10,574.05,575.3,563,567.9,6611300,567.9
2016-08-11,564.25,574.9,564.25,569.75,5098900,569.75
2016-08-12,569.85,593.2,569.8,591,13209600,591
2016-08-15,591,591,591,591,0,591
2016-08-16,593.95,593.95,580,583.3,11126900,583.3
2016-08-17,588.2,598,585.2,589.5,9879700,589.5
2016-08-18,591.1,597.3,590.8,593.15,12089200,593.15
2016-08-19,595.4,597.6,586.1,588.55,9209800,588.55
2016-08-22,589.9,589.95,579.4,580.25,9499200,580.25
2016-08-23,581.25,585,580.1,582.5,6963900,582.5
2016-08-24,584.85,584.85,578.65,583.4,5835500,583.4
2016-08-25,586.8,594,585,586.55,17177700,586.55
2016-08-26,586.5,589,580.3,586.4,7531200,586.4
2016-08-29,586.4,597,586,589.15,12461000,589.15
2016-08-30,592,599.25,588.55,591.15,11834400,591.15
2016-08-31,591.5,603.85,580.7,596.85,120541900,596.85
2016-09-01,597.05,603,592,596.65,10204700,596.65
2016-09-02,597.7,602,594.25,599.2,7279700,599.2
2016-09-05,599.2,599.2,599.2,599.2,0,599.2
2016-09-06,602.5,637.8,602.5,635.9,15252300,635.9
2016-09-07,637.75,638.3,622.5,625.1,11869900,625.1
2016-09-08,626,634,619.75,629.35,8039500,629.35
2016-09-09,615.1,624.7,611.7,613.1,9795000,613.1
