"Date","KOTAKBANK.NS.Open","KOTAKBANK.NS.High","KOTAKBANK.NS.Low","KOTAKBANK.NS.Close","KOTAKBANK.NS.Volume","KOTAKBANK.NS.Adjusted"
2016-04-22,680.05,683.75,672.95,676.1,1975000,675.6638
2016-04-25,671.1,682.85,671.1,680.45,1211600,680.011
2016-04-26,679.95,705,678.85,700.85,2108400,700.3978
2016-04-27,702.4,719.8,701,712.5,1929100,712.0403
2016-04-28,715,718.4,698.5,701.45,1515200,700.9975
2016-04-29,699,719.35,695.5,717.15,1490100,716.6873
2016-05-02,714.2,724.75,712.1,718.2,1296500,717.7367
2016-05-03,719,722.95,699,707.45,1358100,706.9936
2016-05-04,706.05,720.6,704.8,712.65,2111300,712.1903
2016-05-05,713.9,715.25,704.05,709.15,975900,708.6925
2016-05-06,706.05,710,696.1,702.95,667200,702.4965
2016-05-09,703,716,702.9,713.85,1885300,713.3894
2016-05-10,717.75,730,711.4,722.85,1576800,722.3836
2016-05-11,717.8,737,714,731.55,4117400,731.078
2016-05-12,735.7,743.75,721,726.75,2785700,726.2811
2016-05-13,727,728.9,707,708.25,1429500,707.7931
2016-05-16,708.1,720,703,718.25,2438900,717.7866
2016-05-17,719,725,708,708.9,2471600,708.4427
2016-05-18,708,713.65,700.25,708.9,1147900,708.4427
2016-05-19,708.25,710.5,701.65,706.05,964100,705.5945
2016-05-20,709.9,710.7,700.25,702.15,600500,701.697
2016-05-23,706,710.65,701,703.15,1437900,702.6964
2016-05-24,702.9,702.95,692.5,698.4,2068900,697.9494
2016-05-25,704,715.5,700.5,712.75,2907800,712.2902
2016-05-26,716.1,739,714.35,730.2,1936100,729.7289
2016-05-27,734.4,744.65,733.1,742.55,1293500,742.0709
2016-05-30,748.7,754.5,740.05,742.6,729000,742.1209
2016-05-31,743.3,750,739.5,746.55,1167600,746.0683
2016-06-01,749.75,749.75,740.4,745.35,918200,744.8691
2016-06-02,749,750,736.4,746.3,1605900,745.8185
2016-06-03,750,772.45,743.1,769.3,2480700,768.8037
2016-06-06,770.1,775,762.55,765.25,1157600,764.7563
2016-06-07,770,778.85,760.85,772.05,1857700,771.5519
2016-06-08,768.1,770,755,759.35,1227600,758.8601
2016-06-09,761.9,761.9,750.1,752.75,1301300,752.2644
2016-06-10,751.1,757.5,743.35,750.7,1510600,750.2157
2016-06-13,746,757.45,745,755.9,1629800,755.4123
2016-06-14,758.5,758.5,749.3,752.1,663500,751.6148
2016-06-15,757,768.1,753,765.55,887200,765.0561
2016-06-16,765.9,765.9,746.35,754.45,1079000,753.9633
2016-06-17,756,760.85,748.75,751.1,814200,750.6154
2016-06-20,741.8,756.8,740,751.95,894000,751.4649
