"Date","BIOCON.NS.Open","BIOCON.NS.High","BIOCON.NS.Low","BIOCON.NS.Close","BIOCON.NS.Volume","BIOCON.NS.Adjusted"
2016-08-12,849,854,841.05,846.2,679400,846.2
2016-08-15,846.2,846.2,846.2,846.2,0,846.2
2016-08-16,846,849.9,827.55,838.8,748700,838.8
2016-08-17,838.9,849.8,835.45,843.65,571100,843.65
2016-08-18,845.9,883,845,855.8,2512900,855.8
2016-08-19,857.5,858.45,843.8,847.5,1198000,847.5
2016-08-22,847.2,888.7,845.05,883.15,2925100,883.15
2016-08-23,887,897.6,874.2,884.25,1543100,884.25
2016-08-24,883.1,892.4,877.25,882.3,857100,882.3
2016-08-25,884.25,894,861.3,865.55,1745900,865.55
2016-08-26,884,909.8,882.6,892.45,3895600,892.45
2016-08-29,894.95,898.6,884.25,891.75,731400,891.75
2016-08-30,904,920.85,902,912.2,1777300,912.2
2016-08-31,916.9,924,911.2,916.7,1067900,916.7
2016-09-01,915,919.5,906,910.2,537700,910.2
2016-09-02,913,917,908.2,912.2,288600,912.2
2016-09-05,912.2,912.2,912.2,912.2,0,912.2
2016-09-06,913.2,928,913.2,921.5,518800,921.5
2016-09-07,926,939,914.8,932.8,933600,932.8
2016-09-08,934.9,935.5,922.5,928.6,683900,928.6
2016-09-09,928,941,902.5,908.15,1293400,908.15
2016-09-12,890,896.9,871.35,885.8,819500,885.8
2016-09-13,885.8,885.8,885.8,885.8,0,885.8
2016-09-14,885.8,928.4,885.8,924.55,1268800,924.55
2016-09-15,924.1,935.5,917,928.95,1124800,928.95
2016-09-16,932,936.65,912.25,921,944500,921
2016-09-19,923.5,942.4,920.4,933.15,1052300,933.15
2016-09-20,935,967.45,932,959.5,2018800,959.5
2016-09-21,960.2,965.75,942.75,945.55,1127400,945.55
2016-09-22,955,966.7,947.35,962.95,871700,962.95
2016-09-23,964.9,975,956,962.45,848900,962.45
2016-09-26,960,977.6,955.1,968.65,761700,968.65
2016-09-27,969,984.75,969,974.85,952900,974.85
2016-09-28,976,981.65,968.65,971.7,601200,971.7
2016-09-29,974.8,977.15,886.5,923.25,1485500,923.25
2016-09-30,920,942,914.4,933.5,793500,933.5
2016-10-03,950,967,940.5,964.05,569000,964.05
2016-10-04,962,966.7,942.25,948.6,529000,948.6
