"Date","DABUR.NS.Open","DABUR.NS.High","DABUR.NS.Low","DABUR.NS.Close","DABUR.NS.Volume","DABUR.NS.Adjusted"
2016-01-20,248,251.89999,247.39999,249.25,948000,247.40073
2016-01-21,249.5,251.5,238.95,240.39999,1598800,238.61638
2016-01-22,241.3,245.10001,239,240.95,1104800,239.16231
2016-01-25,242,242.45,236.35001,237.25,1288700,235.48976
2016-01-26,237.25,237.25,237.25,237.25,0,235.48976
2016-01-27,236,237.7,231.5,236.85001,2994500,235.09273
2016-01-28,236,245,236,243.5,2276100,241.69339
2016-01-29,245.8,252.64999,243.14999,250.64999,1975600,248.79033
2016-02-01,250.89999,252.5,248.05,251.05,1161800,249.18738
2016-02-02,250.95,252.39999,239.5,241.14999,1141500,239.36082
2016-02-03,240.35001,247.75,238.45,243.45,1841900,241.64376
2016-02-04,245.5,248.39999,244.89999,247.25,933200,245.41557
2016-02-05,246.2,252,246.10001,251.3,570300,249.43552
2016-02-08,250.2,253.25,249.35001,250.95,1355200,249.08811
2016-02-09,250,251.45,247.7,249.25,562600,247.40073
2016-02-10,249,249.5,240.60001,242.89999,2019500,241.09783
2016-02-11,243.5,245.89999,237,239.14999,814800,237.37566
2016-02-12,241.3,249.35001,238,247.8,1768400,245.96149
2016-02-15,247.8,251.7,241.10001,248.89999,587200,247.05332
2016-02-16,247.14999,252.39999,242.05,245.10001,903400,243.28152
2016-02-17,243.35001,243.89999,239,241.45,708900,239.6586
2016-02-18,243.89999,245.45,242.2,243.75,625300,241.94153
2016-02-19,243.95,245.2,240.8,244.39999,641400,242.58671
2016-02-22,244.39999,249.7,243.05,248.60001,704500,246.75556
2016-02-23,250,250.89999,237.10001,238.89999,938800,237.12751
2016-02-24,239.95,240.8,234.25,236.35001,793000,234.59644
2016-02-25,237.45,241.7,233.5,238.60001,1273900,236.82975
2016-02-26,241.14999,242.7,238,241.3,649700,239.50971
2016-02-29,242.8,242.8,235,237.14999,1241600,235.3905
2016-03-01,237.14999,243.39999,237,241.95,1854700,240.15489
2016-03-02,243,246.8,242.10001,243.55,2676700,241.74302
2016-03-03,244.75,246.64999,241.10001,245.10001,2382100,243.28152
2016-03-04,242.55,253,242.55,249.55,863600,247.6985
2016-03-07,249.55,249.55,249.55,249.55,0,247.6985
2016-03-08,248,251.3,245.95,248.60001,814400,246.75556
2016-03-09,246.8,247,241.39999,245.85001,1948000,244.02596
2016-03-10,246,247.89999,244.10001,245.95,823400,244.12521
2016-03-11,246,251,244.10001,249.85001,781500,247.99628
2016-03-14,252.3,254.5,249.5,251.05,1255400,249.18738
2016-03-15,253.7,253.7,245.85001,247.39999,1913000,245.56445
2016-03-16,245.8,249.8,244.14999,247.25,2569900,245.41557
2016-03-17,247.8,250,246.3,247.95,1021600,246.11037
2016-03-18,249,250.89999,245.60001,249.60001,1033700,247.74814
2016-03-21,251,253.89999,250,253.10001,612900,251.22217
2016-03-22,252.2,255.8,247.64999,249.64999,1496800,247.79775
2016-03-23,247.2,250.55,247.2,248.95,519700,247.10295
2016-03-24,248.95,248.95,248.95,248.95,0,247.10295
2016-03-25,248.95,248.95,248.95,248.95,0,247.10295
2016-03-28,249.95,249.95,242,243.55,1264200,241.74302
2016-03-29,243.55,245.8,242.75,245.10001,614500,243.28152
2016-03-30,245.85001,249.55,245.8,246.75,2079500,244.91928
2016-03-31,247.05,251.8,246.39999,249.89999,2028200,248.0459
2016-04-01,248.05,251.35001,247.3,250.5,682500,248.64145
2016-04-04,250.5,252.75,247.5,249.55,343100,247.6985
2016-04-05,249,250.05,244.95,246,628000,244.17484
2016-04-06,245.60001,248.5,245.10001,247.8,1394600,245.96149
2016-04-07,248,249.39999,246,247.7,847800,245.86222
2016-04-08,247.55,251.89999,246.45,250.05,652300,248.1948
2016-04-11,250,254.39999,248.14999,253.39999,468700,251.51993
2016-04-12,254.85001,263.60001,254.75,262.79999,1150400,260.85018
2016-04-13,265,268.70001,262.64999,267.54999,1458800,265.56494
2016-04-14,267.54999,267.54999,267.54999,267.54999,0,265.56494
2016-04-15,267.54999,267.54999,267.54999,267.54999,0,265.56494
2016-04-18,267.95001,275,267.75,273.64999,1500500,271.61969
2016-04-19,273.64999,273.64999,273.64999,273.64999,0,271.61969
2016-04-20,272.39999,273,264.79999,267.25,815500,265.26718
2016-04-21,268,269.20001,262.79999,267.20001,737800,265.21756
2016-04-22,267.60001,274.79999,263.70001,264.89999,1363000,262.93461
2016-04-25,266.54999,269.25,262.54999,266.79999,970800,264.82051
2016-04-26,266.79999,269.04999,264.45001,266.54999,734000,264.57236
