"Date","NIITTECH.NS.Open","NIITTECH.NS.High","NIITTECH.NS.Low","NIITTECH.NS.Close","NIITTECH.NS.Volume","NIITTECH.NS.Adjusted"
2016-07-29,462.1,465.85,448.7,450.05,377600,450.05
2016-08-01,451,456,443,446.05,223500,446.05
2016-08-02,449.95,449.95,440.05,442.35,128800,442.35
2016-08-03,444.65,444.65,421,422.25,253600,422.25
2016-08-04,423.25,432.5,417.05,425.35,335000,425.35
2016-08-05,425,429.7,421,423,232500,423
2016-08-08,426,426,420.25,421.7,166500,421.7
2016-08-09,422,424,411.5,414.8,191000,414.8
2016-08-10,407.1,424.4,405.05,407.3,399800,407.3
2016-08-11,407.3,418,407.3,413.35,253100,413.35
2016-08-12,416.65,419.4,409,411.1,144600,411.1
2016-08-15,411.1,411.1,411.1,411.1,0,411.1
2016-08-16,411,415,408.1,410.4,306500,410.4
2016-08-17,411.5,412.5,406.5,407.75,219300,407.75
2016-08-18,408,417.65,407.55,415.2,336900,415.2
2016-08-19,420,423.8,418.35,420.8,450900,420.8
2016-08-22,420,421.45,415.1,417.45,158000,417.45
2016-08-23,418.8,420.1,409.15,412.4,160300,412.4
2016-08-24,411.9,414.7,409.2,410.75,233000,410.75
2016-08-25,413.5,413.65,393,402.05,771800,402.05
2016-08-26,399.65,403.7,395.5,399.45,306300,399.45
2016-08-29,398,399.5,390.05,391.2,137400,391.2
2016-08-30,392.95,398.5,386.75,395.65,184800,395.65
2016-08-31,395,405,393.2,400,259100,400
2016-09-01,401,405.2,398.15,399.6,186300,399.6
2016-09-02,403.85,407,399.2,400.6,215200,400.6
2016-09-05,400.6,400.6,400.6,400.6,0,400.6
2016-09-06,404.65,404.85,395.05,397.25,132800,397.25
2016-09-07,401.15,405,397,399.85,150800,399.85
2016-09-08,400,400,392.25,394.45,91000,394.45
2016-09-09,396,410.9,391.2,403.1,336800,403.1
2016-09-12,399.05,408.8,393,405,604200,405
2016-09-13,405,405,405,405,0,405
2016-09-14,407.5,415.9,407,411,772600,411
2016-09-15,413,414.5,404,405.7,185800,405.7
2016-09-16,408,413.05,397.8,408.6,369500,408.6
2016-09-19,410.9,414.8,408.55,411.2,179400,411.2
2016-09-20,414.8,415,406,407.65,197600,407.65
2016-09-21,410.15,411.95,408,410,85900,410
2016-09-22,412,414.95,411.05,412.35,230800,412.35
2016-09-23,412.9,442.05,411.1,431.35,1121700,431.35
2016-09-26,431.85,449.45,429.8,440.9,855200,440.9
2016-09-27,441.8,447,432.75,440.4,286100,440.4
2016-09-28,440.2,444.75,432.15,439.05,339500,439.05
2016-09-29,438,441.25,401.05,412.6,308200,412.6
2016-09-30,414.9,437.55,405,418.95,302000,418.95
2016-10-03,424.9,434.65,423,426.35,182700,426.35
2016-10-04,426.45,430.55,424,426,117600,426
2016-10-05,429.2,429.2,422.15,425.15,140000,425.15
2016-10-06,427,428.5,417.25,420.75,135600,420.75
2016-10-07,422.35,422.6,404.6,408.25,194400,408.25
2016-10-10,410,418.65,405.15,415.5,123800,415.5
2016-10-11,415.5,415.5,415.5,415.5,0,415.5
2016-10-12,415.5,415.5,415.5,415.5,0,415.5
2016-10-13,415.5,425,410.4,421.6,343800,421.6
2016-10-14,425.15,444.9,425.15,440.3,872500,440.3
2016-10-17,450,450.5,409.15,411.3,1095900,411.3
2016-10-18,414,419.5,406,415.95,470200,415.95
