"Date","DHFL.NS.Open","DHFL.NS.High","DHFL.NS.Low","DHFL.NS.Close","DHFL.NS.Volume","DHFL.NS.Adjusted"
2016-06-08,198,202,196.6,200.45,1724300,196.088
2016-06-09,202.6,214.4,202.5,212,6745200,207.387
2016-06-10,213.55,215.9,208.25,209,5238500,204.452
2016-06-13,205,206,199.35,202.7,3158100,198.289
2016-06-14,203.3,206.6,202.55,205.05,2128600,200.588
2016-06-15,205.65,208,204.35,206.3,1402500,201.811
2016-06-16,206.95,207,198.6,202.1,2045600,197.702
2016-06-17,203.9,204.4,200,201.85,1464100,197.458
2016-06-20,201.5,206.45,201,204.7,1783600,200.246
2016-06-21,205,206.5,203,203.85,991400,199.414
2016-06-22,204.1,204.9,199.05,200.15,1047400,195.795
2016-06-23,200.3,201.75,198.25,199.75,1311200,195.404
2016-06-24,194,196.3,186,194.85,1887000,190.61
2016-06-27,194,198.25,193,195.85,1244500,191.588
2016-06-28,198,202.7,197,202.1,3339500,197.702
2016-06-29,204.25,204.25,201.3,201.85,1592600,197.458
2016-06-30,203.1,204.6,202.35,203.7,3120900,199.268
2016-07-01,204,210.4,204,207.95,2589100,203.425
2016-07-04,209.8,214,209.1,211.85,2615200,207.24
2016-07-05,213.45,214.7,209.8,212.2,1683600,207.583
2016-07-06,212.2,212.2,212.2,212.2,0,207.583
2016-07-07,213.3,214.5,211.25,212.5,1401800,209.854
2016-07-08,211.45,215.25,207.65,214.2,1948300,213.543
2016-07-11,216.5,219,216,217.1,2860000,216.434
2016-07-12,218.2,218.7,213.4,217.35,1246300,216.683
2016-07-13,218,218.7,212.6,214,1333000,213.343
2016-07-14,214.1,214.85,212.5,213.4,1182500,212.745
2016-07-15,214,218.85,213,215.3,1623400,214.639
2016-07-18,216.95,222.9,215.6,216.95,2883000,216.284
2016-07-19,217.8,219.05,214.35,216.85,1077400,216.185
2016-07-20,217.45,221.15,215.3,219.75,3934900,219.076
2016-07-21,220.95,221.75,217,217.9,2759800,217.231
2016-07-22,217.9,224,216.2,222,2187300,221.319
2016-07-25,222.9,226.4,220.8,225.35,2227700,224.658
2016-07-26,224.75,227.5,220.65,221.85,1739400,221.169
2016-07-27,222.45,225.3,220.2,221.75,1136400,221.069
2016-07-28,221.7,226,221.7,223.75,1143100,223.063
2016-07-29,225.4,225.4,222.1,223.2,782100,222.515
2016-08-01,223.8,227.8,220.2,223.05,1276100,222.365
2016-08-02,225,228.4,222.8,224.2,2056500,223.512
2016-08-03,224.7,227,221.45,224.2,1688000,223.512
2016-08-04,226.2,235.5,223.65,234.35,3819400,233.631
2016-08-05,236.85,248.9,235,247.5,4391600,246.74
2016-08-08,248,254.5,243.6,247.3,2791500,246.541
2016-08-09,247.55,253,245,251.7,2490200,250.928
2016-08-10,253.7,257,250.2,253.35,4817400,252.572
2016-08-11,255.9,260.65,253,258.75,3764700,257.956
2016-08-12,260.4,268.5,260.2,265.15,3590700,264.336
