"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2016-07-20,4471.85,4510,4452.05,4469.15,357500,4438.28
2016-07-21,4489,4493.05,4405.25,4413.7,252200,4383.22
2016-07-22,4421,4449,4405,4414.7,339800,4384.21
2016-07-25,4427,4565,4421,4550.55,499600,4519.12
2016-07-26,4575.15,4584,4451.15,4471.3,1828100,4440.42
2016-07-27,4510.3,4628,4510,4558.15,1212700,4526.67
2016-07-28,4579,4784,4570.55,4763.5,1879400,4730.6
2016-07-29,4751,4824,4720.55,4757.6,799200,4724.74
2016-08-01,4798.95,4885,4772.25,4866.25,1206900,4832.64
2016-08-02,4900,5039,4880,4986.05,1611100,4951.61
2016-08-03,5014.9,5020,4853.15,4873.85,1019600,4840.19
2016-08-04,4945,4945,4869.35,4889.65,727000,4855.88
2016-08-05,4919,4965,4900,4941.65,598200,4907.52
2016-08-08,4980,5010,4960.05,4991.75,474500,4957.27
2016-08-09,5009.9,5021.75,4915.4,4960.85,508700,4926.59
2016-08-10,4975,4980,4850,4861.6,512300,4828.02
2016-08-11,4862.1,4923.5,4805,4878.65,623100,4844.96
2016-08-12,4882,4940,4847.1,4898.6,686000,4864.77
2016-08-15,4898.6,4898.6,4898.6,4898.6,0,4864.77
2016-08-16,4948,4948,4852,4864.2,793100,4830.61
2016-08-17,4860,4911.3,4849.1,4889.85,498200,4856.08
2016-08-18,4920.85,4950,4901,4915.85,479500,4881.9
