"Date","AJANTPHARM.NS.Open","AJANTPHARM.NS.High","AJANTPHARM.NS.Low","AJANTPHARM.NS.Close","AJANTPHARM.NS.Volume","AJANTPHARM.NS.Adjusted"
2016-04-20,1506.59998,1519.94995,1488.40002,1498.34998,133400,1487.85175
2016-04-21,1500,1508.94995,1460,1477.44995,75500,1467.09816
2016-04-22,1477,1505,1453.80005,1498.30005,110800,1487.80217
2016-04-25,1491.65002,1499.25,1480,1485,72300,1474.59531
2016-04-26,1471,1549,1470.94995,1543.09998,255200,1532.28821
2016-04-27,1549.69995,1549.69995,1517.59998,1532.40002,93200,1521.66322
2016-04-28,1526,1564,1518.15002,1539.09998,183700,1528.31623
2016-04-29,1547,1562,1472.84998,1514.5,459500,1503.88862
2016-05-02,1505.5,1511.75,1458,1505.09998,128600,1494.55445
2016-05-03,1504,1520,1482,1490.59998,119900,1480.15605
2016-05-04,1488,1505.94995,1470,1476.59998,66700,1466.25414
2016-05-05,1480,1527.69995,1480,1517.94995,113700,1507.3144
2016-05-06,1522,1549.80005,1513,1542.69995,149300,1531.89098
2016-05-09,1559.80005,1559.80005,1532.5,1544.34998,69700,1533.52945
2016-05-10,1544,1567.59998,1535,1545.90002,107600,1535.06864
2016-05-11,1536,1558,1530,1548.19995,56900,1537.35245
2016-05-12,1548,1549.90002,1529,1532.09998,41100,1521.36528
2016-05-13,1533.69995,1542.84998,1519.30005,1536.15002,72300,1525.38695
2016-05-16,1538.69995,1599.30005,1520,1592.55005,160300,1581.39181
2016-05-17,1610,1614.34998,1581,1585.19995,131500,1574.09321
2016-05-18,1577,1589.59998,1562.05005,1576.80005,46300,1565.75216
2016-05-19,1575,1586.59998,1561,1578,58700,1566.9437
2016-05-20,1570,1580.75,1550.59998,1569.34998,114900,1558.35428
2016-05-23,1581.84998,1581.84998,1474.09998,1487.30005,204700,1476.87924
2016-05-24,1479,1500,1445.09998,1463.94995,213400,1453.69275
2016-05-25,1487.69995,1487.69995,1447.30005,1475.75,174900,1465.41012
2016-05-26,1479.40002,1512.90002,1465.15002,1501.5,185700,1490.9797
2016-05-27,1511.5,1547,1511.5,1530.19995,84900,1519.47857
2016-05-30,1524.05005,1555,1524.05005,1538.90002,70300,1528.11768
2016-05-31,1528,1547.19995,1515.5,1518.75,61000,1508.10884
2016-06-01,1529.94995,1552.80005,1506.55005,1529.84998,59200,1519.13104
2016-06-02,1543,1571.80005,1535.55005,1559.59998,113300,1548.6726
2016-06-03,1555.05005,1570,1543,1549.40002,66500,1538.54411
2016-06-06,1545,1565.44995,1530.19995,1551.09998,77000,1540.23215
2016-06-07,1550,1591,1540.84998,1583.30005,133700,1572.20662
2016-06-08,1581,1587.69995,1562,1565.59998,84000,1554.63056
