"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2016-02-10,12120,12120,11828.0005,11881.5002,194600,1172.0153
2016-02-11,11800,11904.0002,11055,11240.5005,414600,1108.7858
2016-02-12,11250,11580,10886.5002,11254.4995,448900,1110.1666
2016-02-15,11400,11844.0002,11389.4995,11613.0005,135400,1145.5299
2016-02-16,11750.5005,11810,11020,11163.0005,181000,1101.141
2016-02-17,11090,11256.9995,10800,11200.9998,339100,1104.8893
2016-02-18,11390,11500,11250,11447.5,231200,1129.2046
2016-02-19,11300,11398.0005,11225.9998,11297.5,173100,1114.4083
2016-02-22,11389.0002,11740,11280.5005,11575,245600,1141.7815
2016-02-23,11655,11655,11145,11169.4995,255200,1101.7821
2016-02-24,11190,11379.0002,10820,10910,286300,1076.1845
2016-02-25,11000,11080,10550,10669.0002,254000,1052.4118
2016-02-26,10740,10784.4995,10500.5005,10557.5,267000,1041.4132
2016-02-29,10585,10786.9995,10250,10299.4995,386700,1015.9635
2016-03-01,10250,10434.4995,10080,10393.0005,590700,1025.1866
2016-03-02,10520,10750,10460,10507.5,373800,1036.4811
2016-03-03,10600,10874.0002,10555,10751.5002,514900,1060.5498
2016-03-04,10849.4995,11096.9995,10650,11005.5005,424900,1085.6049
2016-03-07,11005.5005,11005.5005,11005.5005,11005.5005,0,1085.6049
2016-03-08,11050,11145,10794.4995,10860.9998,185000,1071.351
2016-03-09,10860,10990,10680.9998,10950,157700,1080.1302
2016-03-10,10960.9998,11013.0005,10740,10839.0002,160200,1069.181
2016-03-11,10839.0002,11049.4995,10770,10868.0005,215300,1072.0416
2016-03-14,10910,10970,10545,10746.9995,303100,1060.1058
2016-03-15,10780,10780,10466.5002,10634.4995,183200,1049.0086
2016-03-16,10700,10700,10460,10650.9998,273200,1050.6362
2016-03-17,10750,10960,10700,10839.0002,366600,1069.181
2016-03-18,10940,11076.9995,10875.5005,11028.4998,411700,1087.8736
2016-03-21,11050,12030,11019.4995,11770.5005,920700,1161.066
2016-03-22,11900,12020,11777.5,11914.0002,641100,1175.2211
2016-03-23,11945,12220,11748.4998,12016.9995,295300,1185.3812
2016-03-24,12016.9995,12016.9995,12016.9995,12016.9995,0,1185.3812
2016-03-25,12016.9995,12016.9995,12016.9995,12016.9995,0,1185.3812
2016-03-28,12123.0005,12188.0005,11580.9998,11676.5002,303100,1151.7937
2016-03-29,11705.9998,11930.9998,11615.5005,11800.9998,244300,1164.0745
2016-03-30,11960,12160.9998,11840,12099.0002,389800,1193.4699
2016-03-31,12190,12490,11970,12243.0005,807600,1207.6744
2016-04-01,12080,12189.4995,11915.5005,11990.9998,219700,1182.8165
2016-04-04,12150,12189.4995,12022.5,12059.0002,195800,1189.5242
2016-04-05,12022.5,12022.5,11700.9998,11810.5005,262200,1165.0117
2016-04-06,11860,11970.9998,11652.5,11715.9998,187200,1155.69
2016-04-07,11750,11750,11431.5002,11523.4998,338900,1136.7014
2016-04-08,11600,11773.4998,11445.9998,11676.5002,170300,1151.7937
2016-04-11,11720,11750,11325.5005,11506.5002,264200,1135.0245
2016-04-12,11549.0002,11930,11500,11835.9998,289400,1167.527
2016-04-13,11963.0005,12149.0002,11850,11940.5005,254400,1177.8352
2016-04-14,11940.5005,11940.5005,11940.5005,11940.5005,0,1177.8352
2016-04-15,11940.5005,11940.5005,11940.5005,11940.5005,0,1177.8352
2016-04-18,11970,12165,11830.5005,12061.5002,228900,1189.7708
2016-04-19,12061.5002,12061.5002,12061.5002,12061.5002,0,1189.7708
2016-04-20,12061.5002,12208.0005,11921.5002,11981.5002,199100,1181.8795
2016-04-21,12020,12090,11571.9995,11693.0005,192300,1153.4213
2016-04-22,11520,11785,11520,11694.0002,218100,1153.5199
