"Date","WIPRO.NS.Open","WIPRO.NS.High","WIPRO.NS.Low","WIPRO.NS.Close","WIPRO.NS.Volume","WIPRO.NS.Adjusted"
2016-03-21,554.40002,562.40002,541.79999,556.45001,1104700,553.02303
2016-03-22,556.5,556.59998,551.09998,552.84998,1482200,549.44517
2016-03-23,550.09998,559.20001,545.79999,555.75,1442500,552.32733
2016-03-24,555.75,555.75,555.75,555.75,0,552.32733
2016-03-25,555.75,555.75,555.75,555.75,0,552.32733
2016-03-28,558.54999,563.59998,549.29999,556.15002,1457900,552.72489
2016-03-29,557,559,548,553.15002,1503400,549.74337
2016-03-30,552.70001,563.65002,551.25,561.95001,1478100,558.48916
2016-03-31,561.84998,570,557.20001,564.25,3875900,560.77498
2016-04-01,567,572.5,557.20001,562.15002,1379100,558.68794
2016-04-04,566.90002,571.09998,563.15002,566.25,697300,562.76266
2016-04-05,566.25,566.59998,557.25,559,824100,555.55731
2016-04-06,560,562,552.75,558.20001,1089100,554.76225
2016-04-07,558,560,550.34998,551.79999,608700,548.40164
2016-04-08,548,551.40002,546.5,549.54999,940500,546.1655
2016-04-11,549,568.59998,542.20001,565.75,1115500,562.26574
2016-04-12,565.29999,571.75,561.09998,569.54999,842600,566.04233
2016-04-13,583,591.90002,580.54999,584.90002,2001500,581.29783
2016-04-14,584.90002,584.90002,584.90002,584.90002,0,581.29783
2016-04-15,584.90002,584.90002,584.90002,584.90002,0,581.29783
2016-04-18,589,594.5,580.20001,588.59998,2457200,584.97499
2016-04-19,588.59998,588.59998,588.59998,588.59998,0,584.97499
2016-04-20,598,607,589.59998,601.25,4693900,597.54711
2016-04-21,570,575.65002,556.84998,558.84998,5808100,555.40821
2016-04-22,560,562.65002,555.09998,557.95001,2154800,554.51379
2016-04-25,558.09998,561.75,551.09998,552.45001,1715800,549.04767
2016-04-26,552.40002,558,550.20001,554.45001,1810700,551.03535
2016-04-27,552.25,561.25,552.25,560,898100,556.55116
2016-04-28,559.5,564,551,553.09998,2719800,549.69363
2016-04-29,555,556.79999,548.34998,554.34998,1280600,550.93593
2016-05-02,551,552.95001,545.29999,548.5,993000,545.12198
2016-05-03,549,549.75,539.04999,543.84998,1726900,540.50059
2016-05-04,542.5,543.40002,537,540,1311900,536.67433
