"Date","SAIL.NS.Open","SAIL.NS.High","SAIL.NS.Low","SAIL.NS.Close","SAIL.NS.Volume","SAIL.NS.Adjusted"
2016-07-19,48.7,48.95,47.75,48.45,5187400,48.45
2016-07-20,48.6,48.85,47.5,47.85,5277500,47.85
2016-07-21,47.85,48.55,46.55,46.65,3547400,46.65
2016-07-22,47,48.45,46.15,47.95,7281800,47.95
2016-07-25,48.1,48.7,47.7,48.3,4827300,48.3
2016-07-26,48.6,49.9,48.2,48.55,7982400,48.55
2016-07-27,48.8,49.2,47.8,48.75,9315900,48.75
2016-07-28,49,49.2,47.15,47.35,10033700,47.35
2016-07-29,47.5,48.1,46.6,46.95,5642300,46.95
2016-08-01,47.5,47.95,46.15,47.35,8910300,47.35
2016-08-02,47.4,47.6,45.8,46.05,5387300,46.05
2016-08-03,46.6,46.7,45.65,45.9,5710500,45.9
2016-08-04,46.4,47.25,45.8,46.75,5386900,46.75
2016-08-05,47.8,48.8,47.5,48.1,13258600,48.1
2016-08-08,48.55,48.85,47.6,47.9,5442800,47.9
2016-08-09,48.2,48.2,46.85,47.05,4599200,47.05
2016-08-10,47.2,47.4,45.8,45.9,5331200,45.9
2016-08-11,45.5,46.2,45,45.55,3827000,45.55
2016-08-12,46.05,46.45,45.5,45.85,4113000,45.85
2016-08-15,45.85,45.85,45.85,45.85,0,45.85
2016-08-16,46,46.35,45.55,46.15,3564400,46.15
2016-08-17,46.05,48.65,45.9,48.15,17430800,48.15
2016-08-18,48.65,48.9,47.8,48,9392400,48
2016-08-19,48.25,50,47.95,49.55,30285700,49.55
2016-08-22,49.8,51,48.15,50.2,18837500,50.2
2016-08-23,50.3,50.7,48.9,49.9,12322000,49.9
2016-08-24,50.05,50.4,49.4,49.75,4312200,49.75
2016-08-25,49.7,49.9,48.5,48.7,11314200,48.7
2016-08-26,48.8,49,47.8,48.05,3819900,48.05
2016-08-29,48.1,48.5,47.4,48.25,3677900,48.25
2016-08-30,48.7,49.1,48.35,48.8,5344600,48.8
2016-08-31,49.45,49.45,48,48.2,5214300,48.2
2016-09-01,48.25,48.6,47.7,48,4101300,48
2016-09-02,47.75,48.2,47.5,48.05,3346300,48.05
2016-09-05,48.05,48.05,48.05,48.05,0,48.05
2016-09-06,48.2,48.8,48.15,48.65,4230000,48.65
2016-09-07,48.6,52.55,48.5,51.75,25783600,51.75
2016-09-08,52.5,54.7,52.5,53.75,34723700,53.75
2016-09-09,50.2,52.25,50.2,50.65,28866900,50.65
2016-09-12,50,50.1,47.55,47.8,8031400,47.8
2016-09-13,47.8,47.8,47.8,47.8,0,47.8
2016-09-14,48.3,48.4,47.3,47.95,7113400,47.95
2016-09-15,48.35,48.4,47.55,47.8,3859000,47.8
2016-09-16,48.2,48.35,46.35,46.55,14827500,46.55
2016-09-19,46.9,47.5,46.6,47.2,4039600,47.2
2016-09-20,47.2,48.55,46.95,47.7,6870700,47.7
2016-09-21,47.6,48.45,47.55,47.85,4756300,47.85
2016-09-22,48.4,49.15,48.25,48.95,6905400,48.95
2016-09-23,48.8,49.4,48.5,48.75,6402800,48.75
