"Date","SUZLON.NS.Open","SUZLON.NS.High","SUZLON.NS.Low","SUZLON.NS.Close","SUZLON.NS.Volume","SUZLON.NS.Adjusted"
2016-01-25,19.05,19.4,18.35,18.4,32313700,18.4
2016-01-26,18.4,18.4,18.4,18.4,0,18.4
2016-01-27,18.75,18.75,18,18.15,37409000,18.15
2016-01-28,18.25,19,18.15,18.85,21328200,18.85
2016-01-29,18.95,20.5,18.85,20.3,47402500,20.3
2016-02-01,20.5,20.7,18.5,18.6,47859600,18.6
2016-02-02,18.65,18.85,16.75,16.95,84842400,16.95
2016-02-03,16.5,16.65,13.75,14.95,248813900,14.95
2016-02-04,15.45,15.55,13.8,14.4,106985900,14.4
2016-02-05,14.65,16.05,14.2,15.75,70485400,15.75
2016-02-08,16.1,16.25,15.45,15.75,37371000,15.75
2016-02-09,15.4,15.9,15,15.1,40719900,15.1
2016-02-10,15,15,13.35,13.6,119184300,13.6
2016-02-11,13.6,13.75,12.8,12.9,59852000,12.9
2016-02-12,13.15,13.75,12.8,13.55,56406500,13.55
2016-02-15,14.05,14.5,14,14.2,31345800,14.2
2016-02-16,14.45,14.45,13.55,13.7,28905300,13.7
2016-02-17,13.65,13.65,13.05,13.3,33132100,13.3
2016-02-18,13.6,13.75,13.15,13.3,22625200,13.3
2016-02-19,13.2,13.55,13.05,13.15,23136100,13.15
2016-02-22,13.3,13.65,13.1,13.35,18480200,13.35
2016-02-23,13.5,13.6,13.1,13.2,20771900,13.2
2016-02-24,13.2,13.45,13.1,13.25,20046000,13.25
2016-02-25,13.35,13.4,13.1,13.15,16428800,13.15
2016-02-26,13.35,13.45,13.15,13.35,19794700,13.35
2016-02-29,13.4,14.05,13.3,13.5,52838200,13.5
2016-03-01,13.65,13.95,13.35,13.45,33401800,13.45
2016-03-02,13.75,13.95,13.55,13.8,31385000,13.8
2016-03-03,13.9,15.3,13.75,15,84648600,15
2016-03-04,15.2,15.3,14.8,14.95,40478700,14.95
2016-03-07,14.95,14.95,14.95,14.95,0,14.95
2016-03-08,15.05,15.2,14.4,14.5,35000200,14.5
2016-03-09,14.35,14.7,14.05,14.5,28584700,14.5
2016-03-10,14.6,14.9,14.15,14.2,36295200,14.2
2016-03-11,14.2,14.35,13.95,14.1,21362700,14.1
2016-03-14,14.3,14.35,14.15,14.2,24897700,14.2
2016-03-15,14.3,14.3,13.75,13.75,26895000,13.75
2016-03-16,13.75,13.8,13.4,13.5,26806800,13.5
2016-03-17,13.65,13.9,13.25,13.35,37132400,13.35
2016-03-18,13.5,13.6,12.9,13,37221200,13
2016-03-21,13.15,13.2,12.95,13,27141900,13
2016-03-22,13.15,13.55,12.95,13.4,40019200,13.4
2016-03-23,13.55,13.55,13.25,13.45,23503300,13.45
2016-03-24,13.45,13.45,13.45,13.45,0,13.45
2016-03-25,13.45,13.45,13.45,13.45,0,13.45
2016-03-28,13.45,13.5,12.9,12.95,29044600,12.95
2016-03-29,12.95,13.15,12.8,12.85,26229500,12.85
2016-03-30,13.1,14,13.1,13.9,52536300,13.9
2016-03-31,13.95,14.3,13.6,14.2,42277900,14.2
2016-04-01,14.1,14.45,13.95,14.15,21643700,14.15
2016-04-04,14.3,14.35,14.05,14.25,14662800,14.25
2016-04-05,14.2,14.2,13.65,13.75,20336500,13.75
2016-04-06,13.8,14.15,13.55,14.05,21002800,14.05
2016-04-07,14.1,14.6,14.1,14.2,22004300,14.2
2016-04-08,14.2,14.25,14,14.1,13141100,14.1
2016-04-11,14.2,14.5,14.15,14.35,21888200,14.35
2016-04-12,14.4,14.8,14.25,14.45,29692300,14.45
2016-04-13,14.55,14.75,14.5,14.55,21099000,14.55
