"Date","COLPAL.NS.Open","COLPAL.NS.High","COLPAL.NS.Low","COLPAL.NS.Close","COLPAL.NS.Volume","COLPAL.NS.Adjusted"
2016-04-28,860,867.35,843,847.5,575900,836.224
2016-04-29,843.35,849,836.1,840.85,295300,829.662
2016-05-02,842,852.95,837.9,849.8,175000,838.493
2016-05-03,853.45,859.4,845,850.35,188400,839.036
2016-05-04,849.9,850,839,842.65,97100,831.438
2016-05-05,847,851.85,836.05,845.3,102000,834.053
2016-05-06,845.55,854.9,843.2,850.55,98100,839.233
2016-05-09,854,854,843.15,848.3,169400,837.013
2016-05-10,846.55,851.8,844,845.8,183300,834.546
2016-05-11,811,843.9,811,835.95,183000,824.827
2016-05-12,839.95,844.2,833.05,836.95,303100,825.814
2016-05-13,837.95,840.85,830.05,836.65,220600,825.518
2016-05-16,840,840,813.65,824.5,258700,813.53
2016-05-17,829,830,818.55,828.15,123500,817.131
2016-05-18,829.95,830,822.4,828,105600,816.983
2016-05-19,830,833.4,817.2,819.9,135600,808.991
2016-05-20,825,827.75,806,808.9,188600,798.137
2016-05-23,810,815,799.2,811.2,293000,800.407
2016-05-24,814.3,842.6,787.2,834.4,1353200,823.298
2016-05-25,839.1,841.85,821.9,834.9,238100,823.791
2016-05-26,835,839,821.5,835.5,404200,824.383
2016-05-27,838,846.75,830.1,839.3,141600,828.133
2016-05-30,838,857.9,835.8,853.8,196800,842.44
2016-05-31,854.8,866.35,853.8,861.35,249500,849.889
2016-06-01,863,865,847.5,849.25,224800,837.95
2016-06-02,854.95,873.6,853,863.1,449300,851.616
2016-06-03,862,871.2,861.05,866.75,334200,855.218
2016-06-06,866,870,852.85,854.75,101500,843.377
2016-06-07,855,859.2,851.6,855.15,180000,843.772
2016-06-08,854.5,868.9,854,864.7,145500,853.195
2016-06-09,867,868,853.1,855.8,162900,844.413
2016-06-10,856.9,881,854,872.05,364100,860.447
2016-06-13,871.95,873.35,857.35,862.9,171800,851.419
2016-06-14,863.1,875,856,860.7,114800,849.248
2016-06-15,862.35,868,856,859.45,105800,848.015
2016-06-16,860.45,870.9,850.55,868.25,374200,856.698
2016-06-17,867,870,852.85,855.6,233600,844.216
2016-06-20,853.6,868.5,852.1,866.7,78500,855.168
2016-06-21,868,886.9,862.1,884.25,338700,872.485
2016-06-22,886.7,891.9,881.3,886,269800,874.211
2016-06-23,891.4,891.4,880,882.15,99800,870.413
2016-06-24,877,890.5,854,885.3,266300,873.521
2016-06-27,878,888.85,876.15,885.9,381100,874.113
