"Date","MRF.NS.Open","MRF.NS.High","MRF.NS.Low","MRF.NS.Close","MRF.NS.Volume","MRF.NS.Adjusted"
2016-07-21,35317.6,35425,34111,34389.3,5500,34289.96
2016-07-22,34689.8,34689.8,34052.1,34153.6,5200,34054.94
2016-07-25,34425,35084.1,34220.1,34668.1,6100,34567.95
2016-07-26,34898.9,34923.9,33628,33862.5,4800,33764.68
2016-07-27,33990,34400,33738.9,34026.1,4300,33927.81
2016-07-28,34250,34422.2,33900,34053.9,3700,33955.53
2016-07-29,34088.1,34088.1,33700,33844.1,4200,33746.33
2016-08-01,33960,34449,33650,33799.1,9300,33701.46
2016-08-02,33751,34189.2,33750.9,33922.4,9300,33824.41
2016-08-03,34001,34935,33760,34605.9,10100,34601.81
2016-08-04,34935,35560,34550.1,35315.4,8300,35311.23
2016-08-05,35325.5,37490,35325.5,37068.2,28900,37063.82
2016-08-08,37340,37540,36921.4,37092.4,8700,37088.02
2016-08-09,37092.4,37250,36001,36902.4,8200,36898.04
2016-08-10,37000,37099.9,36001.1,36716.9,9800,36712.57
2016-08-11,36410,37300,36000,36660.8,14500,36656.47
2016-08-12,36210,36871.9,35999.7,36129.2,7900,36124.94
2016-08-15,36129.2,36129.2,36129.2,36129.2,0,36124.94
2016-08-16,36000,36490.5,36000,36126.3,4400,36122.04
2016-08-17,36015,36907.5,36015,36525.1,5000,36520.79
2016-08-18,36526.8,36827.9,36306,36553.9,6200,36549.58
2016-08-19,36553,36800,36012,36110.1,5500,36105.84
2016-08-22,36299,36299.9,35299.9,35485.6,6800,35481.41
2016-08-23,35485.6,35849.9,35323.3,35744.2,8400,35739.98
2016-08-24,35770,36490,35700,36300.3,10700,36296.02
2016-08-25,36303,36800,36200,36458.9,10200,36454.6
2016-08-26,36500,36863.4,36212,36339.7,8600,36335.41
2016-08-29,36400,37590.1,36400,37471.6,15200,37467.18
2016-08-30,37390,38087.9,37288.2,37591.4,13200,37586.96
2016-08-31,37988.9,37988.9,37310.6,37431.8,6900,37427.38
2016-09-01,37750,37850,37099.5,37231.9,5200,37227.5
2016-09-02,37390,39000,37235,38852.6,21100,38848.02
2016-09-05,38852.6,38852.6,38852.6,38852.6,0,38848.02
2016-09-06,39000,39732.5,38903,39535.8,14400,39531.13
2016-09-07,39889.9,40337,39550,39893.6,16400,39888.89
2016-09-08,39880,40380,39627.1,40035.8,9300,40031.08
2016-09-09,40000,40549.9,39826.8,40201.5,13800,40196.76
2016-09-12,39950,39950,38695.8,39100.2,16100,39095.58
2016-09-13,39100.2,39100.2,39100.2,39100.2,0,39095.58
2016-09-14,39110,41000,39100,40722.9,17900,40718.09
2016-09-15,40825,41874.7,40825,41124,18300,41119.15
2016-09-16,41350,41719.9,40200,40507.8,18000,40503.02
2016-09-19,40555,43270,40520.1,43101.6,35900,43096.51
2016-09-20,43350,43921,42900,43620.5,33000,43615.35
2016-09-21,43450,44300,43406.9,43806.6,21200,43801.43
2016-09-22,44449,44499,43835.5,44375.9,15900,44370.66
2016-09-23,44800,46471.8,44114,45841.3,38500,45835.89
2016-09-26,45799.9,46349,45458,45715.4,18100,45710
2016-09-27,45759,46917.9,45759,46562.4,16800,46556.9
2016-09-28,46899.8,50190,46710,49753.4,64700,49747.53
2016-09-29,50300,51515.4,47860.3,48605.6,76100,48599.87
2016-09-30,48750,51150,48750,50872.6,33100,50866.6
2016-10-03,51810,52444,51251.4,51894.9,25400,51888.77
2016-10-04,52200,52499,50906.1,51226.9,19500,51220.85
2016-10-05,51677,53899,51200,53693.8,42200,53687.46
2016-10-06,54000,54650,53305.7,53892.8,34500,53886.44
2016-10-07,54530,54530,53065,53471.9,18700,53465.59
2016-10-10,53550,54087.1,52710.1,53034,12500,53027.74
2016-10-11,53034,53034,53034,53034,0,53027.74
2016-10-12,53034,53034,53034,53034,0,53027.74
2016-10-13,53089.9,53740,52600.2,53371.3,24500,53365
2016-10-14,53310,53550,52201,52449,14300,52442.81
2016-10-17,52549.8,52600,49749.1,49873.1,19800,49867.22
2016-10-18,50290,51777,48751,51627.6,39400,51621.51
2016-10-19,51625,51777,50380,50518.4,23900,50512.44
2016-10-20,50650,51502.1,49530,49770.1,22500,49764.23
2016-10-21,50187.9,51100,49728.6,50438.2,22600,50432.25
2016-10-24,50603,50929,49801,49949.9,8300,49944
2016-10-25,50059,50300,49710,50100.1,9400,50094.19
2016-10-26,50080,50771,49236.9,49638.6,15400,49632.74
2016-10-27,49800,50094.5,46199.9,46403.6,37900,46398.13
2016-10-28,46402,48190,46402,47955.6,24400,47949.94
2016-10-31,47955.6,47955.6,47955.6,47955.6,0,47949.94
2016-11-01,48288,50443,48001.1,50095.4,30000,50089.49
2016-11-02,49500,50239.6,48857.1,49569.1,22400,49563.25
2016-11-03,49300,50777,49132.9,50264.3,19300,50258.37
2016-11-04,50449,50899,49551,50179.7,22800,50173.78
2016-11-07,50800,51000,50350,50851.9,11600,50845.9
2016-11-08,51000,52400,50359.5,52046.7,18300,52043.63
2016-11-09,48200,52824,47000,52166.6,27000,52163.52
2016-11-10,52600,53940,52600,53515.4,13800,53512.24
