"Date","GRASIM.NS.Open","GRASIM.NS.High","GRASIM.NS.Low","GRASIM.NS.Close","GRASIM.NS.Volume","GRASIM.NS.Adjusted"
2016-06-02,4355,4357.65,4325,4341.4,326600,847.5
2016-06-03,4341,4369.65,4310.15,4318.75,95700,843.08
2016-06-06,4301.25,4344,4301.25,4318.65,97200,843.06
2016-06-07,4326.2,4382.3,4315.15,4326.95,588200,844.68
2016-06-08,4340,4359,4308.9,4332.1,183200,845.69
2016-06-09,4336,4357,4285,4304.75,125500,840.35
2016-06-10,4298.8,4345.45,4251.9,4311.2,177800,841.61
2016-06-13,4305,4333.7,4280.75,4311.9,557300,841.75
2016-06-14,4313,4313,4255.2,4271.7,259100,833.9
2016-06-15,4287.25,4325,4282.85,4315.6,145500,842.47
2016-06-16,4319,4319,4270.05,4289.45,133100,837.36
2016-06-17,4302,4350,4302,4326.4,414800,844.58
2016-06-20,4300,4340,4250.05,4320.85,129900,843.49
2016-06-21,4328.8,4337,4294.05,4308.5,119200,841.08
2016-06-22,4315,4324.75,4268.85,4276.9,859200,834.91
2016-06-23,4280,4310,4270.3,4299.7,283800,839.36
2016-06-24,4250,4321,4239.95,4291.2,904800,837.71
2016-06-27,4287.8,4398,4280,4368.5,508800,852.8
2016-06-28,4375.5,4473.5,4375.5,4459,567700,870.46
2016-06-29,4462.55,4501.05,4450,4473.65,578600,873.32
2016-06-30,4497.55,4697.8,4475,4665.65,1354300,910.8
2016-07-01,4656,4675,4627.4,4643.25,715500,906.43
2016-07-04,4648,4670,4569.3,4579.9,455300,894.06
2016-07-05,4586,4611.3,4524.95,4537.85,423200,885.85
2016-07-06,4537.85,4537.85,4537.85,4537.85,0,885.85
2016-07-07,4544.9,4570,4520,4550.4,281700,888.3
2016-07-08,4542,4578.3,4523.75,4540.85,765700,886.44
2016-07-11,4553.1,4607.75,4550,4564.15,511100,890.99
2016-07-12,4570.1,4710.6,4556.05,4639.55,686700,905.71
2016-07-13,4644,4652.95,4605,4628.5,355700,903.55
2016-07-14,4627.7,4775,4616.05,4760.75,853000,929.37
2016-07-15,4809,4845.55,4745,4821.6,704800,941.25
2016-07-18,4828.9,4848.7,4772,4797.6,285700,936.56
2016-07-19,4825,4825,4745.65,4760.05,327300,929.23
2016-07-20,4785,4861.8,4773.2,4841.6,848000,945.15
2016-07-21,4844,4935,4821.65,4901.2,832700,956.79
2016-07-22,4903,4949.9,4851,4891,636100,954.79
2016-07-25,4895,4912.7,4840.7,4861,505500,948.94
2016-07-26,4861,4903,4847,4856.45,312900,948.05
2016-07-27,4856.45,4919,4853,4870.1,408600,950.71
2016-07-28,4870.1,4918.5,4820.8,4837.65,893000,944.38
2016-07-29,4860,4917,4836.95,4894.5,504100,955.48
2016-08-01,4912,5019,4912,4988.1,368400,973.75
2016-08-02,5000,5046.05,4970.55,4991.6,634200,974.43
2016-08-03,4995,5010,4928.45,4968.4,292500,969.9
