"Date","BHARATFIN.NS.Open","BHARATFIN.NS.High","BHARATFIN.NS.Low","BHARATFIN.NS.Close","BHARATFIN.NS.Volume","BHARATFIN.NS.Adjusted"
2016-06-03,666,690.5,663.8,678.55,2487500,678.55
2016-06-06,675.1,685.85,671.55,679.7,1230900,679.7
2016-06-07,680.95,682.65,665.95,675.15,1517000,675.15
2016-06-08,676.9,690,668.1,685.9,820500,685.9
2016-06-09,689,695.3,677.15,680.8,1497400,680.8
2016-06-10,676.7,684.5,671.05,678.55,1315200,678.55
2016-06-13,670.65,676.2,665.1,669.7,1037600,669.7
2016-06-14,669.3,674.85,665.5,670.15,712100,670.15
2016-06-15,673.55,676.9,669.4,674.45,1102500,674.45
2016-06-16,674,682.8,670.55,676.75,1043400,676.75
2016-06-17,681.8,688,670,675.1,1529200,675.1
2016-06-20,670,703,670,695.75,904700,695.75
2016-06-21,700.1,710,697.05,700,1165700,700
2016-06-22,699,704.5,683.5,687.95,934800,687.95
2016-06-23,689,700.95,681.2,697.45,775700,697.45
2016-06-24,668,689.9,631,686.6,1239400,686.6
2016-06-27,685,697.5,685,689.35,923900,689.35
2016-06-28,692.5,697.1,684.55,695.05,679500,695.05
2016-06-29,698,738,692.2,735.55,2970200,735.55
2016-06-30,743,745.9,731.1,741.3,3029600,741.3
2016-07-01,741.3,741.3,741.3,741.3,0,741.3
2016-07-04,737,768.3,736,762.75,1097800,762.75
2016-07-05,760.1,781.2,756.95,763.8,1311900,763.8
2016-07-06,763.8,763.8,763.8,763.8,0,763.8
2016-07-07,759.1,768.4,757,759.8,1690500,759.8
2016-07-08,762.4,762.55,748,752.7,716000,752.7
2016-07-11,771.75,788.8,767.65,779.25,1949000,779.25
2016-07-12,784,784.95,769.9,778.95,1035400,778.95
2016-07-13,782,782,756.75,759.5,2000800,759.5
2016-07-14,759.9,767.4,741.6,744.8,1448200,744.8
2016-07-15,749.5,771.75,746.4,764.55,794700,764.55
2016-07-18,768,776.8,761.75,764.6,665100,764.6
2016-07-19,765,791,760.55,787.35,1176200,787.35
2016-07-20,788.8,799.8,776,782.15,2163000,782.15
2016-07-21,784.35,784.35,760,763.7,756000,763.7
2016-07-22,780,891.15,774.85,843.6,9312400,843.6
2016-07-25,847,874.35,832.65,862.95,2328400,862.95
2016-07-26,867.5,908,863,879.35,3246900,879.35
2016-07-27,880.05,892,871.55,887.7,1768400,887.7
2016-07-28,891.4,901.8,881.15,896.55,3554700,896.55
2016-07-29,891.1,939,886,907.3,2741600,907.3
2016-08-01,915,925.95,901.3,910.7,1289600,910.7
2016-08-02,820,890,814.2,822.65,8449900,822.65
2016-08-03,823.15,849.95,778.6,802.25,5543400,802.25
2016-08-04,810.5,815.45,776.5,789.8,2963500,789.8
2016-08-05,799.95,828,792.1,818.15,3139600,818.15
2016-08-08,826.1,841.95,815.1,833.35,1378300,833.35
2016-08-09,834.8,853,824.35,833.8,1509900,833.8
2016-08-10,836,840.7,797.6,803.85,1647500,803.85
2016-08-11,807,807.8,780,794.65,1686400,794.65
2016-08-12,803.35,816.95,799.25,811.8,773700,811.8
2016-08-15,811.8,811.8,811.8,811.8,0,811.8
2016-08-16,803.1,805.95,780.4,784.15,924000,784.15
2016-08-17,784.15,787.5,742,744.95,2064300,744.95
2016-08-18,744.5,806.7,733,795.9,3928400,795.9
2016-08-19,801.95,807.85,780.6,786.25,1550200,786.25
2016-08-22,788,795.5,744,748.05,1767100,748.05
2016-08-23,750,770,748.05,760.15,2082300,760.15
2016-08-24,763.95,764.7,741.6,755.9,1672200,755.9
2016-08-25,758.95,782,758.95,764.65,2769400,764.65
2016-08-26,767.4,791.7,767,784.15,1868000,784.15
2016-08-29,782.6,796,772.8,792.6,1158200,792.6
2016-08-30,798.8,822.9,797.15,818.1,1713100,818.1
2016-08-31,818,829.5,777.35,819.5,1470900,819.5
