"Date","OIL.NS.Open","OIL.NS.High","OIL.NS.Low","OIL.NS.Close","OIL.NS.Volume","OIL.NS.Adjusted"
2016-07-08,367.999,367.999,358.199,360.648,290900,255.978
2016-07-11,362.999,374.999,361.05,364.35,249700,258.605
2016-07-12,364.85,369.55,363.599,365.448,311700,259.385
2016-07-13,371.799,379.999,369.999,371.499,1064500,263.679
2016-07-14,368.55,370.948,365.099,368.499,364200,261.55
2016-07-15,369.999,377.899,366.85,374.448,586600,265.773
2016-07-18,369.199,369.25,359.399,362.699,787600,257.433
2016-07-19,361.999,370.999,359.499,369.748,490200,262.437
2016-07-20,368.999,374.799,368.999,372.599,323100,264.46
2016-07-21,374.499,378.899,372.999,374.799,1568400,266.022
2016-07-22,376.35,378.748,371.748,374.948,1515000,266.128
2016-07-25,375.399,376.999,373.499,374.948,782100,266.128
2016-07-26,374.999,375.448,369.999,372.448,528000,264.353
2016-07-27,373.999,375.55,371.148,372.948,629500,264.708
2016-07-28,372.85,374.899,367.999,370.299,343800,262.828
2016-07-29,370.199,371.699,365.35,368.55,210000,261.586
2016-08-01,368.999,373.948,366.148,369.748,285900,262.437
2016-08-02,367.648,373.999,364.499,370.648,493900,263.076
2016-08-03,372.948,373.599,365.999,366.648,173100,260.236
2016-08-04,367.499,371.999,365.699,368.148,117300,261.301
2016-08-05,370.25,375.748,368.35,374.948,383300,266.128
2016-08-08,376.099,376.599,365.199,373.899,263700,265.383
2016-08-09,379.399,379.399,370.099,371.399,747700,263.608
2016-08-10,372.999,373.699,362.25,363.999,395600,258.356
2016-08-11,363.948,367.199,359.999,365.85,197200,259.67
2016-08-12,367.799,371.099,366.648,368.899,239300,261.834
2016-08-15,368.899,368.899,368.899,368.899,0,261.834
2016-08-16,369.948,371.999,367.148,368.799,301400,261.763
2016-08-17,370.999,371.599,368.399,369.948,701300,262.579
2016-08-18,369.999,374.999,369.099,374.499,352300,265.809
2016-08-19,375.05,377.299,373.499,374.948,684300,266.128
2016-08-22,374.999,377.55,371.748,373.85,301200,265.348
2016-08-23,373.448,373.448,370.25,371.748,213900,263.856
2016-08-24,371.999,387.999,371.999,386.299,1518800,274.184
2016-08-25,387.899,388.899,380.499,383.748,1258400,272.374
2016-08-26,385.448,388.799,380.55,384.699,740300,273.048
2016-08-29,384.948,386.448,381.35,384.25,274200,272.729
2016-08-30,385.199,387.499,384.05,385.748,485000,273.793
2016-08-31,384.999,391.799,381.299,384.499,570400,272.906
2016-09-01,381.648,389.25,381.648,384.35,681900,272.8
2016-09-02,383.699,388.899,382.899,385.799,478500,273.829
2016-09-05,385.799,385.799,385.799,385.799,0,273.829
2016-09-06,391.799,391.999,386.099,387.55,591900,275.072
2016-09-07,392.499,401.999,387.999,395.899,2993000,280.998
2016-09-08,396.999,398.999,393.748,396.699,865300,281.566
2016-09-09,396.999,403.399,391.999,400.599,1208300,284.334
2016-09-12,396.999,397.899,389.648,395.948,847100,281.033
2016-09-13,395.948,395.948,395.948,395.948,0,281.033
2016-09-14,393.099,398.05,390.05,396.748,444700,281.601
2016-09-15,390.999,393.799,386.499,391.948,569600,285.88
2016-09-16,391.999,405.599,391.999,403.199,1595700,294.086
2016-09-19,403.948,403.999,396.999,401.599,419700,292.919
2016-09-20,401.599,405.999,398.799,404.899,770700,295.326
2016-09-21,404.85,407.748,402.499,404.648,378600,295.143
2016-09-22,406.299,408.748,405.05,406.799,270200,296.711
2016-09-23,406.899,406.899,402.148,403.748,808200,294.486
2016-09-26,403.999,404.999,392.148,403.699,1011900,294.45
2016-09-27,404.999,410.999,404.35,407.299,416700,297.076
2016-09-28,407.299,408.25,400.599,402.399,783900,293.502
2016-09-29,405.999,408.999,391.799,398.499,691000,290.657
2016-09-30,397.05,405.899,394.25,400.099,781100,291.825
2016-10-03,403.099,417.748,402.35,414.85,857100,302.583
2016-10-04,415.399,420.948,413.499,414.999,775200,302.692
2016-10-05,415.05,417.799,408.748,410.599,428700,299.483
2016-10-06,413.999,421.199,407.25,412.099,1110200,300.577
2016-10-07,411.999,419.299,411.999,415.35,466200,302.948
2016-10-10,418.999,419.85,411.299,412.599,522600,300.942
2016-10-11,412.599,412.599,412.599,412.599,0,300.942
2016-10-12,412.599,412.599,412.599,412.599,0,300.942
2016-10-13,411.999,419.999,411.499,414.748,772300,302.509
2016-10-14,416.899,421.499,414.55,417.899,590700,304.807
2016-10-17,418.448,421.25,412.999,414.299,372300,302.182
2016-10-18,414.85,419.948,404.599,409.699,435400,298.827
2016-10-19,410.25,415.999,407.499,413.85,266500,301.854
2016-10-20,414.399,418.55,412.648,414.25,321900,302.146
2016-10-21,414.648,416.199,410.799,414.399,190400,302.255
2016-10-24,412.799,420.799,411.999,417.25,674000,304.334
2016-10-25,416.999,419.748,413.299,414.899,181800,302.619
2016-10-26,414.099,416.25,410.199,411.948,181000,300.467
2016-10-27,410.05,417.448,410.05,412.399,785100,300.796
2016-10-28,411.899,418.099,407.648,415.999,510500,303.422
2016-10-31,415.999,415.999,415.999,415.999,0,303.422
2016-11-01,416.999,419.448,413.05,417.999,303300,304.88
2016-11-02,414.999,417.499,407.999,410.148,548700,299.154
2016-11-03,409.199,411.999,405.599,408.299,740600,297.805
2016-11-04,409.999,410.55,397.999,402.599,577000,293.648
2016-11-07,402.999,410.999,402.999,407.55,171300,297.259
2016-11-08,407.899,411.499,405.999,409.599,191200,298.754
2016-11-09,399.899,404.648,379.05,403.399,629700,294.231
2016-11-10,408.948,412.499,406.899,410.948,165800,299.738
2016-11-11,409.499,411.148,401.999,407.499,708500,297.222
2016-11-14,407.499,407.499,407.499,407.499,0,297.222
2016-11-15,405.099,407.499,397.099,404.899,413400,295.326
2016-11-16,411.999,414.999,405.199,410.148,652600,299.154
2016-11-17,408.499,411.999,403.399,409.748,180100,298.863
2016-11-18,410.299,420.85,407.099,418.55,552600,305.282
2016-11-21,419.799,426.748,414.599,417.25,858800,304.334
2016-11-22,419.999,428.999,418.999,425.85,1370600,310.606
2016-11-23,430.099,431.448,422.55,427.199,695300,311.591
2016-11-24,440.55,445.999,437.199,439.35,1919900,320.453
2016-11-25,440.499,444.948,435.648,436.85,600800,318.63
2016-11-28,436.499,444.748,424.85,428.25,2002300,312.357
