"Date","RELCAPITAL.NS.Open","RELCAPITAL.NS.High","RELCAPITAL.NS.Low","RELCAPITAL.NS.Close","RELCAPITAL.NS.Volume","RELCAPITAL.NS.Adjusted"
2016-08-26,493,505.5,491.8,502.85,4261000,494.18
2016-08-29,502,532.3,498.3,530.25,6074400,521.1
2016-08-30,533,535.9,525.35,528.5,5211500,519.38
2016-08-31,532,539.9,529,531.8,3067200,522.63
2016-09-01,533,536.15,521.1,525.55,3059600,516.48
2016-09-02,527.7,548.3,526.2,544.65,3794800,535.25
2016-09-05,544.65,544.65,544.65,544.65,0,535.25
2016-09-06,547.5,562.2,545,559.45,4166900,549.8
2016-09-07,560.4,568.9,554.2,560.75,3010100,551.08
2016-09-08,561.95,566.2,558,561.25,1939900,551.57
2016-09-09,561.95,574.55,556.6,563.95,4212500,554.22
2016-09-12,548.8,554.8,531.1,533.4,3771800,524.2
2016-09-13,533.4,533.4,533.4,533.4,0,524.2
2016-09-14,552,586.45,545,579.7,9767600,569.7
2016-09-15,574.25,574.7,560.25,562.25,5035700,562.25
2016-09-16,567.3,577,550.5,553.95,5907300,553.95
2016-09-19,560,573.95,560,569.75,4277300,569.75
2016-09-20,570.95,571,557.4,560.4,3050700,560.4
2016-09-21,561,569,554,556.05,3132900,556.05
2016-09-22,565,579.9,557,575.7,5296400,575.7
2016-09-23,577.7,595.8,575.3,581.7,6612900,581.7
2016-09-26,579.7,585.5,562,565.55,4453500,565.55
2016-09-27,570,578.3,554.4,556.7,4692400,556.7
2016-09-28,559,569.85,557.05,565.85,4039800,565.85
2016-09-29,571.7,583.4,521,530.8,8206100,530.8
2016-09-30,529.25,549.8,527.55,546.9,4227300,546.9
2016-10-03,550.2,572.5,550.1,570.7,4009100,570.7
2016-10-04,575,575.8,562.35,567.25,2732500,567.25
2016-10-05,571,584.45,565.65,577.8,4478500,577.8
2016-10-06,579.4,585.9,565.1,570.55,3202400,570.55
2016-10-07,574.4,578.35,567.25,576.8,2777800,576.8
2016-10-10,579.95,585,576.45,579.15,2016700,579.15
2016-10-11,579.15,579.15,579.15,579.15,0,579.15
2016-10-12,579.15,579.15,579.15,579.15,0,579.15
2016-10-13,575,576.5,544.55,553.5,4214200,553.5
2016-10-14,556.55,560.6,549.15,553.2,3288500,553.2
2016-10-17,555,559.45,536.2,539.45,2779100,539.45
2016-10-18,543,553.8,540.15,551.1,3361600,551.1
2016-10-19,553,553.75,540.1,543.35,3404700,543.35
2016-10-20,545.95,552,543.8,544.75,2551000,544.75
2016-10-21,545,546.2,538,543.9,2040800,543.9
2016-10-24,547,556.55,543.3,547.7,3317700,547.7
2016-10-25,550,550.6,540,541.25,1868400,541.25
2016-10-26,540.8,540.8,522,525.5,2369300,525.5
2016-10-27,524,527,512.5,516.7,3366400,516.7
2016-10-28,520.4,525.4,515.8,519.75,2234100,519.75
2016-10-31,519.75,519.75,519.75,519.75,0,519.75
2016-11-01,523.55,527.8,517.55,520.7,1978400,520.7
2016-11-02,512,515.5,503.65,507.2,2222000,507.2
2016-11-03,507.7,514.8,501.7,504,2171400,504
2016-11-04,504,508.7,492.1,494.95,2661700,494.95
2016-11-07,503.95,512.75,502.4,507.3,1922100,507.3
2016-11-08,509.9,511,500.1,506.95,1670600,506.95
2016-11-09,457,484.75,433.65,477.55,4953900,477.55
2016-11-10,489.7,504.85,486.15,498.65,2113100,498.65
