"Date","ESCORTS.NS.Open","ESCORTS.NS.High","ESCORTS.NS.Low","ESCORTS.NS.Close","ESCORTS.NS.Volume","ESCORTS.NS.Adjusted"
2016-01-28,133.8,134.25,129.9,131.3,260200,130.83
2016-01-29,132.3,135.7,130.65,135.15,429900,134.67
2016-02-01,135.85,138.2,135.75,136.55,293800,136.06
2016-02-02,136,137.9,128,132.15,903500,131.68
2016-02-03,129.2,130.2,125.8,127.25,381100,126.8
2016-02-04,130,130.4,121,122.95,294900,122.51
2016-02-05,123.5,132.75,123.5,131.8,433800,131.33
2016-02-08,131.5,135.2,128.4,130.35,435900,129.89
2016-02-09,127.8,133.4,127.8,131.3,322600,130.83
2016-02-10,130,130.9,126.1,127.65,369000,127.2
2016-02-11,126.55,128.8,118.8,120.8,337800,120.37
2016-02-12,118.6,120.9,112.8,117.2,397500,116.78
2016-02-15,117.85,125.85,117.85,124.6,333700,124.16
2016-02-16,125.35,126.05,118.1,119.85,235700,119.42
2016-02-17,118.5,119.45,114,118.15,340700,117.73
2016-02-18,119.55,122.75,117.1,118.85,240000,118.43
2016-02-19,117.15,122.3,117.15,119.7,235600,119.27
2016-02-22,120.3,122.45,119.5,121.6,157900,121.17
2016-02-23,121.95,129.7,121.95,125.4,1008000,124.95
2016-02-24,126.05,128,124.9,125.6,417700,125.15
2016-02-25,126,126.9,125,125.35,185400,124.9
2016-02-26,127.2,128.4,126.25,127.55,469900,127.1
2016-02-29,128,131.8,121.3,125.7,483300,125.25
2016-03-01,126.35,133.9,124.8,131.45,969600,130.98
2016-03-02,131.8,134.35,131,132.2,525300,131.73
2016-03-03,132.25,137,132,135.15,407600,134.67
2016-03-04,135,139.35,133.15,138.3,549800,137.81
2016-03-07,138.3,138.3,138.3,138.3,0,137.81
2016-03-08,137.7,139.7,135.1,136.95,325300,136.46
2016-03-09,136,138.25,135.5,137.8,204100,137.31
2016-03-10,137.9,138.65,134.7,135.3,256000,134.82
2016-03-11,135,136.8,131.25,131.95,264500,131.48
2016-03-14,133.1,134.8,129.5,130.9,350400,130.43
2016-03-15,131.55,131.55,127.5,129,332300,128.54
2016-03-16,128.6,130.1,127.1,129.2,167600,128.74
2016-03-17,132.25,134.8,131.25,132.35,357700,131.88
2016-03-18,132.35,133.45,130.4,131.45,192600,130.98
2016-03-21,131.8,136.25,131.1,134.9,401200,134.42
2016-03-22,135.3,137.75,133.55,136,532200,135.52
2016-03-23,135.9,144.3,134.5,139.8,1035000,139.3
2016-03-24,139.8,139.8,139.8,139.8,0,139.3
2016-03-25,139.8,139.8,139.8,139.8,0,139.3
2016-03-28,140.5,144.05,134.75,136.2,686700,135.72
2016-03-29,137,140,136.5,137.65,369000,137.16
2016-03-30,140.5,142.85,138.7,139.95,517700,139.45
2016-03-31,139.25,141.4,137.6,139.25,269700,138.75
2016-04-01,138.15,143.8,137.7,139.4,1767000,138.9
2016-04-04,140.35,146.3,139.75,145.55,1382900,145.03
2016-04-05,144.3,144.9,140.55,142.3,576900,141.79
2016-04-06,143.05,152.45,141.3,150.3,1986100,149.77
2016-04-07,151,154.5,147.35,148.85,1257700,148.32
2016-04-08,149.5,154.45,149.3,153.15,690700,152.61
2016-04-11,153,154.4,151.15,153.15,475600,152.61
2016-04-12,155.7,171,155.7,169.25,5883400,168.65
2016-04-13,170.9,173.3,167.55,168.6,1954100,168
2016-04-14,168.6,168.6,168.6,168.6,0,168
2016-04-15,168.6,168.6,168.6,168.6,0,168
2016-04-18,169.5,175.35,166.4,171.15,1271700,170.54
2016-04-19,171.15,171.15,171.15,171.15,0,170.54
2016-04-20,172.2,174.9,169.7,172.85,948200,172.24
2016-04-21,173.3,175.85,166.5,168.8,869400,168.2
2016-04-22,168,169.9,166.6,168.05,446700,167.45
2016-04-25,169.05,169.7,165,166.65,427700,166.06
2016-04-26,166.65,169.8,165.75,167.65,440500,167.05
2016-04-27,168.5,173.65,166.5,172.05,1008900,171.44
2016-04-28,171.9,174.35,169.15,170.4,821600,169.79
2016-04-29,170.5,171.65,166.2,169.25,484400,168.65
2016-05-02,168.85,177.35,166.95,173.55,2031600,172.93
2016-05-03,174.25,177.95,170.5,171.4,997800,170.79
2016-05-04,170.55,170.7,164,165.2,526500,164.61
2016-05-05,166.05,166.7,162.6,164.35,588500,163.77
2016-05-06,164,167.8,163.25,166.4,439400,165.81
2016-05-09,167,172.2,166.9,171.15,712300,170.54
2016-05-10,171.5,175.5,166,173.55,704500,172.93
2016-05-11,170.5,179.7,170,178.7,1892400,178.06
2016-05-12,177.75,180.45,174.6,177,1078700,176.37
2016-05-13,176.75,178.8,172.55,173.95,903700,173.33
