"Date","JUSTDIAL.NS.Open","JUSTDIAL.NS.High","JUSTDIAL.NS.Low","JUSTDIAL.NS.Close","JUSTDIAL.NS.Volume","JUSTDIAL.NS.Adjusted"
2016-07-27,535,540.9,528,537.95,803100,537.95
2016-07-28,539,550.75,537,540.7,1107000,540.7
2016-07-29,541,561.5,541,555.5,1394100,555.5
2016-08-01,560.4,565,526.35,530.95,1379800,530.95
2016-08-02,534,536.4,501.25,504.9,1426900,504.9
2016-08-03,500.25,502.9,475,477.1,2406100,477.1
2016-08-04,480,490,472.1,479.2,1485400,479.2
2016-08-05,480.25,486,455.4,466.25,2478900,466.25
2016-08-08,471.8,511.85,460,500.55,4556600,500.55
2016-08-09,505.4,510.6,486.05,497.85,2388900,497.85
2016-08-10,499.7,519.7,488.4,494.6,3548500,494.6
2016-08-11,495,506.8,486.3,493.65,1671100,493.65
2016-08-12,494,499.45,470.2,475.05,1474100,475.05
2016-08-15,475.05,475.05,475.05,475.05,0,475.05
2016-08-16,477,503.5,465.95,485.65,4975500,485.65
2016-08-17,479,495,445.85,471.35,8979500,471.35
2016-08-18,471,484,470.95,473,2919700,473
2016-08-19,474,484.95,470.1,475.1,2112100,475.1
2016-08-22,475,479.75,463.15,465.7,1447000,465.7
2016-08-23,463,465.9,456.1,460.95,1469200,460.95
2016-08-24,462,477.9,460.65,467.3,1983400,467.3
2016-08-25,468.2,499.5,468.2,485.4,5337000,485.4
2016-08-26,490,506.75,488,500.45,3351300,500.45
2016-08-29,504,514.8,499.9,505.55,2772300,505.55
2016-08-30,508,512.95,496,498.8,1665800,498.8
2016-08-31,500,507.5,494.1,496.25,1074300,496.25
2016-09-01,498,501,480,482.8,1355300,482.8
2016-09-02,483.5,485.55,472.3,479,1374400,479
2016-09-05,479,479,479,479,0,479
2016-09-06,482,509.5,479.9,501.6,2962400,501.6
2016-09-07,503,522.65,497.2,508.6,3619400,508.6
2016-09-08,511,515,491.05,499.25,3162700,499.25
2016-09-09,501,505.8,485,487.35,2113900,487.35
2016-09-12,479.95,488,470.1,476.55,1335300,476.55
2016-09-13,476.55,476.55,476.55,476.55,0,476.55
2016-09-14,477,477.25,462,464.25,1826500,464.25
2016-09-15,465,470.8,458.05,466.05,1542600,466.05
2016-09-16,469.95,476.15,460.35,468.8,1764600,468.8
