"Date","TATASTEEL.NS.Open","TATASTEEL.NS.High","TATASTEEL.NS.Low","TATASTEEL.NS.Close","TATASTEEL.NS.Volume","TATASTEEL.NS.Adjusted"
2016-09-23,377.35,378.4,371,372,4461800,372
2016-09-26,371.35,376.55,368.4,369.75,4351600,369.75
2016-09-27,372.6,374.6,366.6,367.95,4403900,367.95
2016-09-28,368.25,382.2,368.25,380.35,6338900,380.35
2016-09-29,383.35,383.85,365,368.8,13361000,368.8
2016-09-30,367.85,377.45,363.3,374.25,5506100,374.25
2016-10-03,376.9,384.8,376.3,382.85,4480800,382.85
2016-10-04,386,393,382.4,391.15,8523400,391.15
2016-10-05,395.2,396.5,389,390.7,5154800,390.7
2016-10-06,392.8,395.85,386.55,389.85,7730400,389.85
2016-10-07,392.9,407.6,390.2,406.55,11610300,406.55
2016-10-10,409.9,420.7,409,418.4,11642300,418.4
2016-10-11,418.4,418.4,418.4,418.4,0,418.4
2016-10-12,418.4,418.4,418.4,418.4,0,418.4
2016-10-13,414,420.4,408.8,413.8,11106000,413.8
2016-10-14,416,417.5,409.5,412.3,5275300,412.3
2016-10-17,412.2,415.8,407.6,410.8,6712900,410.8
2016-10-18,414.4,426.5,412.1,424.95,7584800,424.95
2016-10-19,426,427.75,421.2,426,4973700,426
2016-10-20,427.75,431.9,425.25,428.55,5062600,428.55
2016-10-21,427,428.45,421.7,427.2,4124600,427.2
2016-10-24,427.45,431.4,425,426.05,2881900,426.05
2016-10-25,410,419.2,408.35,415.25,8696900,415.25
2016-10-26,414.35,418.8,390.9,398.6,8302400,398.6
2016-10-27,388,400,383.35,397.15,13709700,397.15
2016-10-28,398.75,406.5,397.35,405.45,6788100,405.45
2016-10-31,405.45,405.45,405.45,405.45,0,405.45
2016-11-01,404.85,423.95,401.1,417.7,9473700,417.7
2016-11-02,406,416.4,406,413.35,7410100,413.35
2016-11-03,411,419.7,398.65,403.3,8494100,403.3
2016-11-04,403.9,407.6,398.25,403.1,5096300,403.1
2016-11-07,406.3,415.35,406.3,412.6,4516300,412.6
2016-11-08,414,415.4,405.5,408.65,3253400,408.65
2016-11-09,380,403.9,377,399.35,5912200,399.35
2016-11-10,407.95,439.3,407.95,437,10898000,437
2016-11-11,432.5,441.5,424,426.5,8733200,426.5
2016-11-14,426.5,426.5,426.5,426.5,0,426.5
2016-11-15,411.5,418,391,393.05,9253500,393.05
2016-11-16,397,401.4,380.85,392.75,8230700,392.75
2016-11-17,393.5,398.6,387,392.75,4361700,392.75
2016-11-18,390.05,412.4,381.25,385.1,4660100,385.1
2016-11-21,385.45,389.6,366.3,371.45,6566200,371.45
2016-11-22,376.7,379.7,372.8,378.05,4143400,378.05
2016-11-23,381,394.8,380.05,392.7,5124200,392.7
2016-11-24,387.05,400.7,385.6,398.15,7117000,398.15
2016-11-25,399,413.5,397.5,408.75,7090400,408.75
2016-11-28,407.9,411.7,402.45,406.6,4679200,406.6
2016-11-29,415,417.6,407.8,408.95,6015300,408.95
2016-11-30,409.7,416,404.3,415.05,5378400,415.05
