"Date","ANDHRABANK.NS.Open","ANDHRABANK.NS.High","ANDHRABANK.NS.Low","ANDHRABANK.NS.Close","ANDHRABANK.NS.Volume","ANDHRABANK.NS.Adjusted"
2016-04-21,55.15,57.15,55.15,56.2,2425100,55.31
2016-04-22,56,56.9,55.55,56.4,1688800,55.5
2016-04-25,56.4,57.2,55.15,55.35,1714300,54.47
2016-04-26,55.4,56.2,54.9,55.95,1476700,55.06
2016-04-27,55.55,56.5,55.35,55.65,1855000,54.76
2016-04-28,55.6,56.4,55.5,55.9,1408000,55.01
2016-04-29,56,56.35,54,55.25,2199700,54.37
2016-05-02,55,55.5,54.5,55.05,1138900,54.17
2016-05-03,55.2,55.9,53.4,53.65,1218600,52.8
2016-05-04,53.2,53.5,50.55,50.9,2051300,50.09
2016-05-05,51.35,51.4,50.15,50.55,1531500,49.75
2016-05-06,50.4,51.5,49.9,50.85,1717500,50.04
2016-05-09,49.5,52.15,49,51.7,4265600,50.88
2016-05-10,51.8,53,51.05,52.4,1904200,51.57
2016-05-11,51.4,52.2,51.1,51.25,1399900,50.43
2016-05-12,51.65,51.85,50.7,51.3,1011500,50.48
2016-05-13,51.1,51.3,50.25,50.65,914800,49.84
2016-05-16,50.15,50.55,49,49.6,1614800,48.81
2016-05-17,50.4,50.7,49.6,50.4,1671800,49.6
2016-05-18,50.2,51.4,49.65,50.95,2063200,50.14
2016-05-19,51,51,48.7,48.85,2464800,48.07
2016-05-20,49,49.1,47.25,47.5,2723000,46.74
2016-05-23,47.65,47.9,46.55,46.65,1839500,45.91
2016-05-24,46.65,46.85,44.7,45.35,3129000,44.63
2016-05-25,45.75,47.05,45.65,46.9,1933900,46.15
2016-05-26,46.95,48.15,46.1,47.85,3815000,47.09
2016-05-27,47.9,49.5,47.4,48.45,2723500,47.68
2016-05-30,50,50,48.5,49.05,1689100,48.27
2016-05-31,48,50.7,47.8,50.25,3004100,49.45
2016-06-01,50.25,50.9,48.35,48.6,2669900,47.83
2016-06-02,48.5,49.35,48,49,2102100,48.22
2016-06-03,49,49.7,48,48.15,1857800,47.38
2016-06-06,48.4,49.3,48.3,48.8,1186600,48.02
2016-06-07,49.35,50,48.65,49.35,2633000,48.56
2016-06-08,49.55,50.65,49.15,50.35,2302000,49.55
2016-06-09,51.4,52.05,50.6,51.35,4144800,50.53
2016-06-10,51.3,52.5,50.7,50.95,2467400,50.14
2016-06-13,50.4,50.4,49.3,49.95,1563800,49.15
2016-06-14,50.15,51.65,50.15,51.3,2771100,50.48
2016-06-15,52,52.5,51.45,51.95,1870100,51.12
2016-06-16,51.9,54.75,50.4,54.15,6778800,53.29
2016-06-17,55.05,55.15,53.6,54.55,4219800,53.68
2016-06-20,53.75,55.85,53.05,55.15,3833600,54.27
2016-06-21,55.4,56.25,54.6,54.9,3445100,54.03
2016-06-22,54.95,55.85,54.25,54.6,2652200,53.73
