"Date","JINDALSTEL.NS.Open","JINDALSTEL.NS.High","JINDALSTEL.NS.Low","JINDALSTEL.NS.Close","JINDALSTEL.NS.Volume","JINDALSTEL.NS.Adjusted"
2016-05-18,59.9,62.2,59.15,61.55,9076200,61.55
2016-05-19,61,63.2,60.15,60.35,8973100,60.35
2016-05-20,61,61.35,59.55,59.95,4669000,59.95
2016-05-23,60.35,60.6,58.6,59.3,5289500,59.3
2016-05-24,59.1,59.95,57.85,58.2,6838400,58.2
2016-05-25,59.2,60.1,58.55,59.55,5307900,59.55
2016-05-26,59.9,61.2,59.6,60.7,6416300,60.7
2016-05-27,60.7,62.5,60.6,61.6,5713000,61.6
2016-05-30,62.6,63.25,61.4,62.1,4914500,62.1
2016-05-31,62.25,64.35,60.6,63.25,11290000,63.25
2016-06-01,63.4,63.7,61.5,62.1,4971400,62.1
2016-06-02,61.7,63.2,61.4,62.85,4061800,62.85
2016-06-03,63,63.35,60.35,61.05,5640900,61.05
2016-06-06,61.95,62.5,61.05,61.95,3658000,61.95
2016-06-07,62.9,62.9,61.15,62.15,4401700,62.15
2016-06-08,62.35,66.3,62.2,64.45,13685100,64.45
2016-06-09,64.45,65.7,63.8,64.4,6637300,64.4
2016-06-10,64.95,66.25,63.95,64.4,8476200,64.4
2016-06-13,63.9,63.9,61.25,62.05,8089900,62.05
2016-06-14,62.5,66.2,62.4,65,14758300,65
2016-06-15,65.7,66,63.6,65,5155900,65
2016-06-16,64.45,66.1,64.1,65.5,6820100,65.5
2016-06-17,66.1,67.5,65.65,66.3,8606300,66.3
2016-06-20,65.05,68.5,64.7,67.45,6785300,67.45
2016-06-21,67.8,68.35,66.25,66.6,5075000,66.6
2016-06-22,67.2,67.6,65,65.65,5669500,65.65
2016-06-23,65.5,66.05,64.3,65.6,4500200,65.6
2016-06-24,63,63.8,60.7,62.35,7528000,62.35
2016-06-27,62.35,64.3,62.15,63.75,6455300,63.75
2016-06-28,63.8,66.8,63.15,66.1,8416900,66.1
2016-06-29,66.75,67.2,66.25,66.5,5640900,66.5
2016-06-30,67.6,68.1,66.6,67.85,7207300,67.85
2016-07-01,68.95,72.45,68.5,70.65,15885500,70.65
2016-07-04,71.1,73.2,70.75,72.2,6924300,72.2
2016-07-05,72.2,74.4,71.45,73,7357100,73
2016-07-06,73,73,73,73,0,73
2016-07-07,74,74.95,70.8,71.05,8950100,71.05
2016-07-08,71.3,71.35,68.9,69.6,5943900,69.6
2016-07-11,70.95,72.65,67.35,68.85,11425200,68.85
2016-07-12,69.75,75.1,69.2,74.5,15373200,74.5
2016-07-13,74.7,76,72.45,73.5,10440000,73.5
