"Date","BHEL.NS.Open","BHEL.NS.High","BHEL.NS.Low","BHEL.NS.Close","BHEL.NS.Volume","BHEL.NS.Adjusted"
2016-05-04,124,124.65,119.05,119.75,5197500,118.501
2016-05-05,119.9,123.5,119.5,122.75,5097300,121.47
2016-05-06,122.5,127.45,120.6,126.75,5465900,125.428
2016-05-09,127.25,128.9,125.6,127.25,4770200,125.923
2016-05-10,127.6,130.4,126.05,128.65,5714600,127.308
2016-05-11,126.65,128,125,126.3,4163300,124.983
2016-05-12,126,128.15,125.1,125.6,4006300,124.29
2016-05-13,125.2,126,122.5,122.75,3876500,121.47
2016-05-16,123.6,124.3,119.8,121.25,5571800,119.985
2016-05-17,122.7,123.3,120.6,121,4205400,119.738
2016-05-18,120,120.3,118,119.55,5203100,118.303
2016-05-19,120.2,121.95,118.5,119.25,6289400,118.006
2016-05-20,119.95,120.75,119,119.3,3575800,118.056
2016-05-23,120,120.25,118.1,118.75,2957300,117.511
2016-05-24,118.5,118.8,115.65,117.7,4383900,116.472
2016-05-25,119.05,123.05,118.9,122.55,6518600,121.272
2016-05-26,123.75,129.25,123.7,128.6,10357500,127.259
2016-05-27,129,132.2,126.6,128.1,10522500,126.764
2016-05-30,122.9,125.8,120.2,120.7,11684800,119.441
2016-05-31,121,123.3,119.5,120.5,8657800,119.243
2016-06-01,122,122,117.5,118.35,6600200,117.116
2016-06-02,118.5,120.5,117.05,120.05,5495100,118.798
2016-06-03,121,121,117.7,118,4950900,116.769
2016-06-06,118.4,119.4,117,118.1,4918800,116.868
2016-06-07,119.5,120.8,117.7,119.3,6238100,118.056
2016-06-08,119.25,122.5,118.75,121.4,6363700,120.134
2016-06-09,121.8,122.9,120.2,121.2,4107800,119.936
2016-06-10,122,126.5,121.95,123.75,12843400,122.459
2016-06-13,122.25,122.25,119.3,120.35,4532400,119.095
2016-06-14,120.8,121.9,120.3,121.4,4746400,120.134
2016-06-15,121.65,123.2,121.25,122.55,3344100,121.272
2016-06-16,122,122.7,119.8,121.4,3244800,120.134
2016-06-17,122.8,123.9,121.4,122.35,5327500,121.074
2016-06-20,120.9,124.75,120.3,123.9,4947800,122.608
2016-06-21,124.6,124.95,121.5,121.85,6206400,120.579
2016-06-22,122.1,123.2,121.5,122.65,3381800,121.371
2016-06-23,122.3,123.3,119.35,122.45,4271600,121.173
2016-06-24,119.8,119.8,113.75,118.25,8559300,117.017
2016-06-27,118.35,120.55,118.25,119.05,3703400,117.808
2016-06-28,119.65,120.5,118.6,118.95,4449100,117.709
2016-06-29,120.3,122.8,119.7,121.95,5925000,120.678
2016-06-30,123.85,128.2,123.2,127.7,13145400,126.368
2016-07-01,129,132.95,128.9,132.05,11649100,130.673
2016-07-04,133.25,138.7,133.25,138.05,12509600,136.61
2016-07-05,138.45,141.45,136.85,139.4,12272000,137.946
2016-07-06,139.4,139.4,139.4,139.4,0,137.946
2016-07-07,139.75,141.95,139.35,139.95,6505300,138.49
2016-07-08,140,141.7,135.65,137.9,6827800,136.462
2016-07-11,140,141.8,138.5,139.2,3167100,137.748
2016-07-12,139.5,140.15,136.35,138.3,6351500,136.857
2016-07-13,139,147,139,141.5,13073600,140.024
2016-07-14,141.6,145.25,140.2,144.75,6654800,143.24
2016-07-15,144.9,145.55,142,142.6,4424100,141.113
2016-07-18,142.7,144.9,138.7,139.8,6239800,138.342
2016-07-19,139.35,140.75,137.05,139.8,6190400,138.342
2016-07-20,139.85,144.5,139.6,144.15,6133400,142.646
2016-07-21,144.75,144.75,138.6,140.1,4721800,138.639
2016-07-22,141,142.3,139.5,140.9,5511600,139.43
2016-07-25,141,148.3,140.6,147.3,7323400,145.764
2016-07-26,148.95,148.95,146.15,147.3,6725400,145.764
2016-07-27,146.95,151.25,146.2,149,10411900,147.446
2016-07-28,149.95,151.2,147.6,149.45,7224500,147.891
2016-07-29,148,148.9,145,145.9,7471800,144.378
2016-08-01,146,149,141.25,141.85,9346000,140.37
2016-08-02,142.4,144,138,138.65,5629500,137.204
2016-08-03,138.5,138.85,132.5,133.3,6156000,131.91
2016-08-04,135,135.75,132.2,133.9,6300000,132.503
2016-08-05,135.05,138.6,135,137.7,5236300,136.264
2016-08-08,139,141.85,136.2,140.15,7585700,138.688
2016-08-09,140.15,142.15,138.7,139.7,6219100,138.243
2016-08-10,140,141.05,136,136.35,5793500,134.928
