"Date","EXIDEIND.NS.Open","EXIDEIND.NS.High","EXIDEIND.NS.Low","EXIDEIND.NS.Close","EXIDEIND.NS.Volume","EXIDEIND.NS.Adjusted"
2016-04-15,134.35,134.35,134.35,134.35,0,132.05
2016-04-18,134.5,135.3,132.65,133.45,1352400,131.16
2016-04-19,133.45,133.45,133.45,133.45,0,131.16
2016-04-20,135,138,134.5,136.9,2002900,134.55
2016-04-21,136.9,137.9,135.7,137.4,1073100,135.04
2016-04-22,137.5,143.9,136.6,143.25,4212700,140.79
2016-04-25,143.6,146.85,142.85,144.15,2747800,141.68
2016-04-26,145,148,144.15,147.6,2343700,145.07
2016-04-27,148.2,151.25,146,149.5,3186700,146.94
2016-04-28,152,153.4,146.25,146.85,5822200,144.33
2016-04-29,147.45,148.9,145,147.25,1059000,144.72
2016-05-02,147,147.15,143,143.65,1683200,141.19
2016-05-03,143.95,146.75,143.95,144.5,934600,142.02
2016-05-04,144.55,145.65,138.75,139.45,1196300,137.06
2016-05-05,140.2,143.3,140.05,141.8,1161900,139.37
2016-05-06,141.4,146.15,140.4,144.9,969300,142.41
2016-05-09,145.95,147.45,144.7,147,932600,144.48
2016-05-10,146.75,148.95,145.2,148.05,1544100,145.51
2016-05-11,145,148.6,144.45,147.85,1119200,145.31
2016-05-12,147.4,149.3,145.75,148,1005700,145.46
2016-05-13,148.9,148.95,145.75,146.65,808400,144.13
2016-05-16,146.6,148.4,146.4,147.5,758300,144.97
2016-05-17,147.75,149.5,146.25,148.2,825900,145.66
2016-05-18,147.1,151.8,147.1,151.35,1140500,148.75
2016-05-19,152.2,152.9,148.2,150.1,2186100,147.52
2016-05-20,150.5,155,150.3,153.3,2081500,150.67
2016-05-23,154.35,154.95,151.65,153.1,1107000,150.47
2016-05-24,153,154.4,150.85,151.8,1678700,149.2
2016-05-25,153,157.75,152.8,156.95,1185100,154.26
2016-05-26,157.5,158.7,153.35,156.05,1313600,153.37
2016-05-27,156.05,158.3,155.8,157.55,540600,154.85
2016-05-30,158,161.45,156.8,160.45,923300,157.7
2016-05-31,160.7,164.8,159.7,164.25,1858300,161.43
2016-06-01,164,164.25,157.45,158.9,558400,156.17
2016-06-02,158,160.6,157,160.1,395900,157.35
2016-06-03,160,161,157.35,157.95,453400,155.24
2016-06-06,157.8,162.3,157.35,161.6,649500,158.83
2016-06-07,161.85,163.25,160.15,162.35,936300,159.56
2016-06-08,162.05,165,161.4,163.5,918600,160.7
2016-06-09,163.5,164,158.6,159.6,526300,156.86
2016-06-10,158.5,161.85,156.1,156.55,880600,153.86
2016-06-13,155.95,158.85,154,158.3,521100,155.58
2016-06-14,158.6,160,157.35,159.3,421100,156.57
2016-06-15,159.3,161.9,159.1,160.3,683800,157.55
2016-06-16,159.5,163.5,159.1,160.1,1204700,157.35
2016-06-17,160.5,162.25,160.05,161.35,904200,158.58
2016-06-20,161,162.6,160,162,532800,159.22
2016-06-21,162.1,164.5,161,162.8,870600,160.01
2016-06-22,163,164.45,160.5,161.7,877800,158.93
2016-06-23,161,163.95,160.5,163.45,868300,160.65
2016-06-24,159,167.65,155.45,165.85,1763300,163
