"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2016-05-30,550,552.9,541,545.95,2790800,538.22
2016-05-31,548,548.7,531.7,538.1,1903900,530.48
2016-06-01,538,543.6,520.55,525,2582600,517.56
2016-06-02,524.3,534.8,522.8,532.55,1906600,525.01
2016-06-03,535,537.8,518.45,523.35,1996400,515.94
2016-06-06,527,534.85,522.3,530.9,1752900,523.38
2016-06-07,534.35,535.5,524.1,530.65,2556100,523.13
2016-06-08,533.35,549.25,532.1,540.95,2899700,533.29
2016-06-09,542,554,536.4,546.7,3064200,538.96
2016-06-10,544.5,560.4,542.5,549.8,4438300,542.01
2016-06-13,542.25,544.85,530.5,536.35,2209800,528.75
2016-06-14,536.35,548.9,536.35,543.5,2285800,535.8
2016-06-15,537.2,542,531.5,539.5,2049100,531.86
2016-06-16,537.95,545.8,525.1,533.8,2541100,526.24
2016-06-17,540,544.45,532.75,536.7,1977700,529.1
2016-06-20,530.1,546.6,530.1,544.65,2184100,536.93
2016-06-21,545,548.25,539.25,544.55,1893300,536.84
2016-06-22,545.4,554.5,539.1,542.6,2796000,534.91
2016-06-23,541.35,543.75,532.15,537.45,1536300,529.84
2016-06-24,514.9,518,488.15,506,3729400,498.83
2016-06-27,503,515.4,502,513.7,1949400,506.42
2016-06-28,514,524.8,514,523.05,2210600,515.64
2016-06-29,525.8,535.75,525,533.1,1953400,525.55
2016-06-30,538,552.45,535.55,545.75,4850200,538.02
2016-07-01,546.15,550.85,542,544.05,1869100,536.34
2016-07-04,548.4,554.4,545.9,548,2764000,540.24
2016-07-05,546,570.5,545,567.05,5600700,559.02
2016-07-06,567.05,567.05,567.05,567.05,0,559.02
2016-07-07,569.95,577.5,567.05,569.5,3617500,561.43
2016-07-08,568.3,571.25,558.1,562.5,1792100,554.53
2016-07-11,570.7,581,569.8,577.2,2210400,569.02
