"Date","PETRONET.NS.Open","PETRONET.NS.High","PETRONET.NS.Low","PETRONET.NS.Close","PETRONET.NS.Volume","PETRONET.NS.Adjusted"
2016-01-27,251.6,252.5,245,248.1,2186600,246.33
2016-01-28,248.75,248.75,241.75,243.35,2486900,241.61
2016-01-29,242.05,249.9,240.9,245.6,1854100,243.84
2016-02-01,248,258.05,246.95,255.6,2311900,253.77
2016-02-02,258,259,252.65,254.55,1621300,252.73
2016-02-03,253.55,257.95,250,254,1696900,252.18
2016-02-04,256.5,258.2,253.2,255.7,1216200,253.87
2016-02-05,256.25,264.9,253.65,263.9,1267100,262.01
2016-02-08,263.9,266.35,252.4,254.1,1618500,252.28
2016-02-09,252,256.7,249.85,253.3,1291900,251.49
2016-02-10,253.3,254.5,247,251.3,1632300,249.5
2016-02-11,241.95,248.8,241,246,3520200,244.24
2016-02-12,248,248.2,239,241.35,1644400,239.62
2016-02-15,242.4,260,242.4,258.2,1988400,256.35
2016-02-16,259,260.8,245.45,247.9,1055000,246.13
2016-02-17,250,250,232.4,238.05,1685000,236.35
2016-02-18,238.7,245.8,238.7,244.65,867900,242.9
2016-02-19,244.85,247.7,243,244.05,595500,242.31
2016-02-22,244,246.8,241,243.85,1324500,242.11
2016-02-23,243.85,243.85,235.6,242,1073100,240.27
2016-02-24,240.8,243.85,236.25,239.65,776700,237.94
2016-02-25,240,240,229.75,236.15,1468600,234.46
2016-02-26,236.2,239.05,231.8,232.85,1017300,231.19
2016-02-29,233.2,237,230.75,235.1,1001200,233.42
2016-03-01,237.55,250.8,234.65,247.4,1395700,245.63
2016-03-02,249.9,251.85,246.05,247.95,673700,246.18
2016-03-03,248.5,252.95,247.2,250.45,736000,248.66
2016-03-04,253.05,253.65,241.65,244.1,2009500,242.35
2016-03-07,244.1,244.1,244.1,244.1,0,242.35
2016-03-08,243.5,248.85,240.4,246.15,1220900,244.39
2016-03-09,245.65,247.5,241.4,246.1,1852400,244.34
2016-03-10,248,250.4,245.1,248.15,739600,246.38
2016-03-11,248.35,253.4,247.5,250.8,1440900,249.01
2016-03-14,251.1,253.2,247,248.9,1022200,247.12
2016-03-15,247,250.35,247,248.3,1018100,246.52
2016-03-16,248.2,251,246.3,247.25,1476900,245.48
2016-03-17,251,251.5,245.65,247.4,1383800,245.63
2016-03-18,250,250,244.95,248.1,1614700,246.33
2016-03-21,248.5,256.8,248.5,254.1,2131200,252.28
2016-03-22,255.35,263.85,254.15,256.4,2093900,254.57
2016-03-23,256.95,257.05,249.8,250.8,1621800,249.01
2016-03-24,250.8,250.8,250.8,250.8,0,249.01
2016-03-25,250.8,250.8,250.8,250.8,0,249.01
2016-03-28,250.9,251.8,247.25,248.65,789800,246.87
2016-03-29,246.4,248.2,240.2,243.95,459800,242.21
2016-03-30,242.4,249,241.3,247.1,3562200,245.33
2016-03-31,247,252.55,244.6,250.75,2210300,248.96
2016-04-01,250,250.5,245.9,246.95,1041300,245.18
2016-04-04,247.5,248.6,244.25,247.7,854300,245.93
2016-04-05,247.9,247.9,243.1,243.95,727800,242.21
2016-04-06,244.8,245.65,243.65,244.85,700300,243.1
2016-04-07,244.3,244.8,238.4,240.5,1254400,238.78
2016-04-08,240,241.8,237,240.05,1251500,238.33
2016-04-11,241,245.3,239.5,244.6,1906400,242.85
2016-04-12,245.85,259.95,244,258.5,5192200,256.65
2016-04-13,260.55,263,258.3,259.5,1113800,257.64
2016-04-14,259.5,259.5,259.5,259.5,0,257.64
2016-04-15,259.5,259.5,259.5,259.5,0,257.64
2016-04-18,259.5,274.9,257.35,272.65,2594300,270.7
2016-04-19,272.65,272.65,272.65,272.65,0,270.7
2016-04-20,272.1,274.3,264.2,266.8,2248000,264.89
2016-04-21,268.85,270,262.7,264.2,1264800,262.31
2016-04-22,265,266.2,261.2,262.9,1115800,261.02
2016-04-25,263.2,267,262.4,263.4,1063300,261.52
2016-04-26,263.4,265.25,261.4,262.55,861400,260.67
2016-04-27,262.25,267,262,263.55,1764500,261.67
2016-04-28,262,265.65,259.05,259.75,2791400,257.89
2016-04-29,260.05,264.4,258.05,263.55,705000,261.67
2016-05-02,264.85,271.35,262.85,266.9,2161500,264.99
2016-05-03,266.9,275.95,266,272.3,3118800,270.35
2016-05-04,272.95,282.5,272.35,279.8,5747400,277.8
2016-05-05,281.15,283.4,278.05,279.9,2607500,277.9
2016-05-06,278.95,283.75,276.2,279.75,1308200,277.75
2016-05-09,281,282,277.75,278.85,1027500,276.86
2016-05-10,278.9,278.9,275.25,276.5,1724800,274.52
2016-05-11,275.45,278.8,274.1,277.05,457200,275.07
2016-05-12,277.55,284.35,277,283.65,1381800,281.62
2016-05-13,283.55,284.8,277.4,278.55,850400,276.56
2016-05-16,279.4,279.55,274.55,276.5,811900,274.52
2016-05-17,283.9,283.9,277.25,279.1,2479200,277.1
2016-05-18,278.25,280,273.25,274.8,1309300,272.84
2016-05-19,272.8,274.7,265.4,267.35,1514500,265.44
2016-05-20,267.75,268,262.8,264.3,1136400,262.41
2016-05-23,264,265.75,258.5,259.6,1017200,257.74
2016-05-24,258.2,259.05,252.8,254.2,1394300,252.38
2016-05-25,256.25,269,250,267.75,1708300,265.84
2016-05-26,269,272.4,264.65,269.65,1048800,267.72
2016-05-27,269.35,276.75,268.75,273.15,743600,271.2
2016-05-30,274.8,279.8,270.2,278.45,610400,276.46
2016-05-31,278.85,279.3,272.5,273.55,504700,271.59
2016-06-01,274,275.65,271.3,272.4,320500,270.45
2016-06-02,271.8,275.8,267,274.85,860300,272.88
2016-06-03,275,276.65,267.4,268.9,930400,266.98
2016-06-06,269.5,273.2,265.5,269.9,843000,267.97
2016-06-07,270.7,274.8,268.95,272.95,711700,271
2016-06-08,273.4,274.55,271.9,272.9,547200,270.95
2016-06-09,271.9,277.7,271.4,274.5,762900,272.54
2016-06-10,272.6,278.8,272.6,276,632000,274.03
2016-06-13,273.6,275.05,269.3,274.3,325900,272.34
2016-06-14,273.7,282.35,270.85,279.9,1808000,277.9
2016-06-15,282.6,283,278.45,280.05,936700,278.05
2016-06-16,281.9,284.7,277.5,283.05,1121300,281.03
2016-06-17,285,288.25,283.1,286.25,2081600,284.2
2016-06-20,286.25,289.5,285,286.9,604800,284.85
2016-06-21,286,288.15,282.4,283.45,314900,281.42
2016-06-22,285.5,292.2,284.65,290.8,1811100,288.72
2016-06-23,292.65,292.7,286.1,287.4,1329400,285.35
2016-06-24,283.9,291.95,274.7,290.55,930500,288.47
2016-06-27,292,293.1,286.3,287.05,735600,285
2016-06-28,285.85,288,283.2,284.3,776500,282.27
2016-06-29,285.5,291.5,284.5,290.05,1212900,287.98
2016-06-30,291,296,289,294.2,841900,292.1
2016-07-01,297.1,301.95,294.75,298.55,1412300,296.42
2016-07-04,300,300,293.55,295.65,676500,293.54
2016-07-05,295.65,300.2,293.6,295.95,494400,293.83
2016-07-06,295.95,295.95,295.95,295.95,0,293.83
2016-07-07,298.85,298.85,293.25,294.15,787900,292.05
2016-07-08,296,296.05,291,292.15,338800,290.06
